model,accuracy_mean,accuracy_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,f1_macro_mean,f1_macro_std
extra_trees,0.7266085011185682,0.02656634583543907,0.7506272168128966,0.024267911698942147,0.7248679503117286,0.023767068624295864,0.7323225074913727,0.024741313011334164
random_forest,0.7118611766128545,0.032707199804223694,0.7315159165960641,0.038600789077700655,0.7113086580223011,0.032850380153787696,0.7168839548231489,0.03649604146642058
svm_rbf,0.7036808755063788,0.019798157262319743,0.7264852548359724,0.014141082837487905,0.7026654398318566,0.021502382080537112,0.7083755791878285,0.018254200358385177
xgboost,0.7064650825321968,0.03928793675813847,0.7171955159298918,0.03951808186564211,0.7051703105781068,0.03634566370582726,0.7064687165936434,0.03961952346070704
logistic_regression,0.6997443618114759,0.01399595264880854,0.7172607210125923,0.024363811316692446,0.7012996120402418,0.01310680751408195,0.7031836058040125,0.01858810950517589
gradient_boosting,0.6823481468045227,0.03349440791238306,0.6970192691390077,0.040168708536746575,0.6790064305626525,0.029753159355034923,0.6833356426874154,0.0341921433070153
knn,0.6031963238406192,0.013492443270508117,0.6403893041479745,0.023548852306306028,0.6091927578194445,0.017014182939602048,0.6150101319836596,0.017116567861288446
