model,accuracy_mean,accuracy_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,f1_macro_mean,f1_macro_std
random_forest,0.7573934837092732,0.07733606503018692,0.7848788731048792,0.08507948270301086,0.752868908868909,0.07430844633718225,0.7538305740901844,0.08024210402686276
svm_rbf,0.743483709273183,0.09128416849097709,0.7701173075290723,0.08123525027107065,0.7468502608502607,0.09004119235922858,0.7493840191531447,0.08960476728759657
extra_trees,0.7468671679197996,0.07164589022298702,0.7657819373608847,0.08685542833448212,0.7412618492618492,0.0661355976324475,0.740856731720184,0.07404708165136722
xgboost,0.7397243107769423,0.05929265233134752,0.7513710701063643,0.06606155388007032,0.7418308358308358,0.06068104242406164,0.7403770148331557,0.06618280638093903
logistic_regression,0.7257518796992481,0.07405887814893934,0.7363393273393274,0.07900051877761259,0.7305134865134865,0.07262524710988945,0.7282567184034268,0.07581694088226583
gradient_boosting,0.7116541353383459,0.07644767628582608,0.7349741239153004,0.08267661545834733,0.7095091575091574,0.07518693793372752,0.7093555487212833,0.0818596877174863
knn,0.6236842105263157,0.10216191832660117,0.6675860427841851,0.0933463494626419,0.616922410922411,0.10047499412701738,0.6275113635112289,0.09383998164356672
