Common name,Scientific name,Subspecies,Recordist,Date,Time,Location,Country,Latitude,Longitude,Elevation,Songtype,Remarks,Back_latin,Catalogue number,License,metadata_file,species_folder
White-browed Shortwing,Brachypteryx montana,brunneiceps,Frank Lambert,2010-05-03,?:?,Negros; Mt. Canlaon,Philippines,10.4,123.1,1900,song,Previously published on AVoCet as <a href=http://avocet.zoology.msu.edu/recordings/10756>AV10756</a>.  Certainty: 100%.  ID determined by: seen well; brown-faced blue form. GPS: estimate from Google Earth. could be calls,,67735,https://creativecommons.org/licenses/by-nc-nd/4.0/,Brachypteryx montana.csv,Brachypteryx montana
White-browed Shortwing,Brachypteryx montana,mindanensis,Ding Li Yong,2014-03-03,09:00,"Mount Apo, Davao City, Davao del Sur, Davao Region",Philippines,7.0813,125.3078,1500,song,,,1082595,https://creativecommons.org/licenses/by-nc-nd/4.0/,Brachypteryx montana.csv,Brachypteryx montana
White-browed Shortwing,Brachypteryx montana,,Phil Gregory,2024-11-13,09:30,Compostela Valley,Philippines,,,1100,song,"Philippine Shortwing, seemingly not mindanensis but the Apo taxon as yet undescribed",,960310,https://creativecommons.org/licenses/by-nc-sa/4.0/,Brachypteryx montana.csv,Brachypteryx montana
White-browed Shortwing,Brachypteryx montana,poliogyna,Greg Irving,2024-03-28,07:20,"High Point of Tinoc - Buguias Road, Benguet, Cordillera Administrative Region",Philippines,16.7016,120.8845,2400,song,,,897127,https://creativecommons.org/licenses/by-nc-sa/4.0/,Brachypteryx montana.csv,Brachypteryx montana
White-browed Shortwing,Brachypteryx montana,mindanensis,Jelle Scharringa,1985-03-25,14:00,"Davao City, Davao del Sur, Davao Region",Philippines,7.0294,125.3536,1600,song,"One male close to ground in tall moss forest on Mount Talomo at 1700m.
",,776686,https://creativecommons.org/licenses/by-nc-sa/4.0/,Brachypteryx montana.csv,Brachypteryx montana
White-browed Shortwing,Brachypteryx montana,brunneiceps,Mike Nelson,2016-10-02,09:00,"Cadiz City, Negros Occidental, Western Visayas",Philippines,10.7862,123.1954,650,song,Negros Shortwing,,691541,https://creativecommons.org/licenses/by-nc-sa/4.0/,Brachypteryx montana.csv,Brachypteryx montana
White-browed Shortwing,Brachypteryx montana,mindanensis,Frank Lambert,2020-02-12,07:19,"New Bataan, Compostela Valley, Davao Region",Philippines,7.4554,126.1735,1250,song,,Leonardina woodi,590114,https://creativecommons.org/licenses/by-nc-nd/4.0/,Brachypteryx montana.csv,Brachypteryx montana
White-browed Shortwing,Brachypteryx montana,mindanensis,Frank Lambert,2020-02-12,07:44,"New Bataan, Compostela Valley, Davao Region",Philippines,7.4554,126.1735,1250,song,,Leonardina woodi,590112,https://creativecommons.org/licenses/by-nc-nd/4.0/,Brachypteryx montana.csv,Brachypteryx montana
White-browed Shortwing,Brachypteryx montana,mindanensis,Frank Lambert,2020-02-10,15:22,"New Bataan, Compostela Valley, Davao Region",Philippines,7.4554,126.1735,1250,song,,,590110,https://creativecommons.org/licenses/by-nc-nd/4.0/,Brachypteryx montana.csv,Brachypteryx montana
White-browed Shortwing,Brachypteryx montana,mindanensis,Frank Lambert,2020-02-15,06:43,"New Bataan, Compostela Valley, Davao Region",Philippines,7.4554,126.1735,1250,song,,,590108,https://creativecommons.org/licenses/by-nc-nd/4.0/,Brachypteryx montana.csv,Brachypteryx montana
White-browed Shortwing,Brachypteryx montana,poliogyna,Yann Muzika,2019-04-04,17:00,"Real, Quezon, Calabarzon",Philippines,14.5633,121.4968,700,song,Hi-Pass Lo-Pass filters,,467513,https://creativecommons.org/licenses/by-nc-sa/4.0/,Brachypteryx montana.csv,Brachypteryx montana
White-browed Shortwing,Brachypteryx montana,unknown,Brendan Sloan,2018-05-23,09:30,"Cinchona Research Station, Lantapan, Bukidnon, Northern Mindanao",Philippines,,,1200 masl approx,song,,,443664,https://creativecommons.org/licenses/by-nc-sa/4.0/,Brachypteryx montana.csv,Brachypteryx montana
White-browed Shortwing,Brachypteryx montana,unknown,Brendan Sloan,2018-05-14,12:30,Lake Holon South Cotabato Mindanao ,Philippines,,,1320 masl approx,song,,,421935,https://creativecommons.org/licenses/by-nc-sa/4.0/,Brachypteryx montana.csv,Brachypteryx montana
White-browed Shortwing,Brachypteryx montana,ss unknown,Brendan Sloan,2018-05-13,12:00,Lake Holon South Cotabato Mindanao ,Philippines,,,1100 masl approx,song,,,421525,https://creativecommons.org/licenses/by-nc-sa/4.0/,Brachypteryx montana.csv,Brachypteryx montana
White-browed Shortwing,Brachypteryx montana,mindanensis,Ross Gallardy,2016-03-26,09:30,"Mount Kitanglad Range Natural Park (near  Malaybalay City), Bukidnon, Northern Mindanao",Philippines,8.1373,124.9648,1700,song,only partial recording of song,,321116,https://creativecommons.org/licenses/by-nc-sa/4.0/,Brachypteryx montana.csv,Brachypteryx montana
White-browed Shortwing,Brachypteryx montana,ss mindanensis,Brendan Sloan,2014-03-05,10:00,Mt Talomo near Davao Mindanao,Philippines,,,1500 masl approx,song,,,301987,https://creativecommons.org/licenses/by-nc-sa/4.0/,Brachypteryx montana.csv,Brachypteryx montana
White-browed Shortwing,Brachypteryx montana,mindanensis,Mike Nelson,2015-01-20,09:30,"Mount Kitanglad, Mindanao",Philippines,8.1238,124.9273,2500,song,,,239260,https://creativecommons.org/licenses/by-nc-sa/4.0/,Brachypteryx montana.csv,Brachypteryx montana
White-browed Shortwing,Brachypteryx montana,mindanensis,Mike Nelson,2015-01-20,09:30,"Mount Kitanglad, Mindanao",Philippines,8.1238,124.9273,2500,song,,,239258,https://creativecommons.org/licenses/by-nc-sa/4.0/,Brachypteryx montana.csv,Brachypteryx montana
White-browed Shortwing,Brachypteryx montana,,Desmond Allen,1995-01-09,?:?,"Sitio Siete, South Cotabato Province, Mindanao",Philippines,,,?,call,brief burst of song,,79300,https://creativecommons.org/licenses/by-nc-nd/2.5/,Brachypteryx montana.csv,Brachypteryx montana
White-browed Shortwing,Brachypteryx montana,mindanensis,Frank Lambert,2010-04-12,?:?,Mindanao; Mt. Kitanglad,Philippines,8.12,124.91,?,song,"Previously published on AVoCet as <a href=http://avocet.zoology.msu.edu/recordings/10852>AV10852</a>.  Certainty: 100%.  ID determined by: not specifically indicated; recordist normally sees birds recorded and indicates if any question. GPS: estimate from Google Earth.   To edit: either place or date is wrong, as recordist was at Mt. Polis, Luzon on 12 April 2010.",,67744,https://creativecommons.org/licenses/by-nc-nd/4.0/,Brachypteryx montana.csv,Brachypteryx montana
White-browed Shortwing,Brachypteryx montana,brunneiceps,Frank Lambert,2010-05-06,?:?,Negros; Mt. Canlaon,Philippines,10.4,123.1,950,song,Previously published on AVoCet as <a href=http://avocet.zoology.msu.edu/recordings/10759>AV10759</a>.  Certainty: 100%.  ID determined by: seen well; dark blue form. GPS: estimate from Google Earth.,,67740,https://creativecommons.org/licenses/by-nc-nd/4.0/,Brachypteryx montana.csv,Brachypteryx montana
White-browed Shortwing,Brachypteryx montana,brunneiceps,Frank Lambert,2010-05-06,?:?,Negros; Mt. Canlaon,Philippines,10.4,123.1,950,song,"Previously published on AVoCet as <a href=http://avocet.zoology.msu.edu/recordings/10758>AV10758</a>.  Certainty: 100%.  ID determined by: seen well, dark blue form. GPS: estimate from Google Earth.",,67739,https://creativecommons.org/licenses/by-nc-nd/4.0/,Brachypteryx montana.csv,Brachypteryx montana
White-browed Shortwing,Brachypteryx montana,brunneiceps,Frank Lambert,2010-05-03,?:?,Negros; Mt. Canlaon,Philippines,10.4,123.1,1800,song,Previously published on AVoCet as <a href=http://avocet.zoology.msu.edu/recordings/10761>AV10761</a>.  Certainty: 100%.  ID determined by: not seen; recordist 95% confident; matches knowns. GPS: estimate from Google Earth. could be calls,,67738,https://creativecommons.org/licenses/by-nc-nd/4.0/,Brachypteryx montana.csv,Brachypteryx montana
White-browed Shortwing,Brachypteryx montana,brunneiceps,Frank Lambert,2010-05-03,?:?,Negros; Mt. Canlaon,Philippines,10.4,123.1,1900,song,Previously published on AVoCet as <a href=http://avocet.zoology.msu.edu/recordings/10755>AV10755</a>.  Certainty: 100%.  ID determined by: seen well; brown-faced blue form. GPS: estimate from Google Earth. could include calls,,67734,https://creativecommons.org/licenses/by-nc-nd/4.0/,Brachypteryx montana.csv,Brachypteryx montana
White-browed Shortwing,Brachypteryx montana,brunneiceps,Frank Lambert,2010-05-03,?:?,Negros; Mt. Canlaon,Philippines,10.4,123.1,1800,song,Previously published on AVoCet as <a href=http://avocet.zoology.msu.edu/recordings/10754>AV10754</a>.  Certainty: slightly less than 100%.  ID determined by: not seen; recordist 95% confident. GPS: estimate from Google Earth.,,67733,https://creativecommons.org/licenses/by-nc-nd/4.0/,Brachypteryx montana.csv,Brachypteryx montana
White-browed Shortwing,Brachypteryx montana,poliogyna,Greg Irving,2024-03-28,08:11,"High Point of Tinoc - Buguias Road, Benguet, Cordillera Administrative Region",Philippines,16.7016,120.8845,2400,song,,,897183,https://creativecommons.org/licenses/by-nc-sa/4.0/,Brachypteryx montana.csv,Brachypteryx montana
White-browed Shortwing,Brachypteryx montana,undescribed,Brendan Sloan,2014-03-03,07:30,Mt Apo Mindanao,Philippines,,,800 masl,song,"	
This mid-montane subspecies is vocally distinct from the higher elavation ss  mindanensis occurring in Mindanao and  apparently an undescribed taxon  separated to lower  mid mountain altitudes....see notes posted on XC168747",,555486,https://creativecommons.org/licenses/by-nc-nd/4.0/,Brachypteryx montana.csv,Brachypteryx montana
White-browed Shortwing,Brachypteryx montana,undescribed,Ding Li Yong,2014-03-03,07:30,"Mount Apo, Davao City, Davao del Sur, Davao Region",Philippines,7.0813,125.3078,800,song,Subspecies occurring in hilly-submontane elevations across Mindanao is apparently an undescribed taxon (of at least subspecies rank) vocally distinct from the montane B. m. mindanensis. Also partitioned altitudinally. ,"Dicaeum trigonostigma,Pachycephala philippinensis",168747,https://creativecommons.org/licenses/by-nc-nd/3.0/,Brachypteryx montana.csv,Brachypteryx montana
White-browed Shortwing,Brachypteryx montana,brunneiceps,Frank Lambert,2010-05-05,?:?,Negros; Mt. Canlaon,Philippines,10.4,123.1,950,song,Previously published on AVoCet as <a href=http://avocet.zoology.msu.edu/recordings/10762>AV10762</a>.  Certainty: 100%.  ID determined by: not specifically indicated; recordist normally sees birds recorded and indicates if any question. GPS: estimate from Google Earth.,,67737,https://creativecommons.org/licenses/by-nc-nd/4.0/,Brachypteryx montana.csv,Brachypteryx montana
White-browed Shortwing,Brachypteryx montana,,Frank Lambert,1989-00-00,?:?,"Eagle Centre, Mindanao",Philippines,7.184482,125.416145,?,song,sub-song,,30766,https://creativecommons.org/licenses/by-nc-nd/4.0/,Brachypteryx montana.csv,Brachypteryx montana
White-browed Shortwing,Brachypteryx montana,mindanensis,Arend Wassink,1985-03-25,09:00,"Mount Apo National Park, Mindanao",Philippines,7.076,125.3016,1525,song,,,164795,https://creativecommons.org/licenses/by-nc-sa/3.0/,Brachypteryx montana.csv,Brachypteryx montana
Balicassiao,Dicrurus balicassius,mirabilis,Ding Li Yong,2025-11-13,07:30,"Tabunan, Cebu",Philippines,10.4321,123.8084,500,flight call,,,1055990,https://creativecommons.org/licenses/by-nc-nd/4.0/,Dicrurus balicassius.csv,Dicrurus balicassius
Balicassiao,Dicrurus balicassius,striatus,Greg Irving,2025-06-11,08:21,PICOP road 4,Philippines,8.2575,126.1493,170,"call, song",Response to playback of Sulawesi Drongo,,1008948,https://creativecommons.org/licenses/by-nc-sa/4.0/,Dicrurus balicassius.csv,Dicrurus balicassius
Balicassiao,Dicrurus balicassius,striatus,Hans Matheve,2024-03-11,?,PICOP road 4,Philippines,8.2575,126.1493,170,song,,,963940,https://creativecommons.org/licenses/by-nc-nd/4.0/,Dicrurus balicassius.csv,Dicrurus balicassius
Balicassiao,Dicrurus balicassius,,Oscar Campbell,2014-07-14,15:30,"Mount Makiling, Luzon",Philippines,14.1358,121.19,500,call,Two birds calling during light rain from canopy above the track.,,190206,https://creativecommons.org/licenses/by-nc-sa/4.0/,Dicrurus balicassius.csv,Dicrurus balicassius
Balicassiao,Dicrurus balicassius,,Frank Lambert,2009-12-12,?:?,"Mindanao; Zamboanga Watershed, Japa",Philippines,6.9,122.1,?,"call, song",Previously published on AVoCet as <a href=http://avocet.zoology.msu.edu/recordings/8090>AV8090</a>.  Certainty: 100%.  ID determined by: not specifically indicated; recordist normally sees birds recorded and indicates if any question. GPS: estimate.,,68172,https://creativecommons.org/licenses/by-nc-nd/4.0/,Dicrurus balicassius.csv,Dicrurus balicassius
Balicassiao,Dicrurus balicassius,,GABRIEL LEITE,2025-06-25,07:00,Luzon; Laguna Province; Mt. Makiling Forest Reserve,Philippines,14.15,121.232,140,"call, song",,,1009614,https://creativecommons.org/licenses/by-nc-sa/4.0/,Dicrurus balicassius.csv,Dicrurus balicassius
Balicassiao,Dicrurus balicassius,,GABRIEL LEITE,2025-06-25,07:00,Luzon; Laguna Province; Mt. Makiling Forest Reserve,Philippines,14.15,121.232,140,"call, song",,,1009613,https://creativecommons.org/licenses/by-nc-sa/4.0/,Dicrurus balicassius.csv,Dicrurus balicassius
Balicassiao,Dicrurus balicassius,striatus,Greg Irving,2025-06-11,07:37,PICOP road 4,Philippines,8.2575,126.1493,170,song,,Phapitreron leucotis,1008946,https://creativecommons.org/licenses/by-nc-sa/4.0/,Dicrurus balicassius.csv,Dicrurus balicassius
Balicassiao,Dicrurus balicassius,,Chi-Hsuan Shao,2024-12-31,06:07,eBird hotspot: Subic Bay--Nabasan Trail,Philippines,14.7639,120.2849,130,call,,,959676,https://creativecommons.org/licenses/by-nc-sa/4.0/,Dicrurus balicassius.csv,Dicrurus balicassius
Balicassiao,Dicrurus balicassius,,Jelle Scharringa,1985-04-15,09:00,"Pagbilao Zigzag Road (near  Pagbilao), Quezon, Calabarzon",Philippines,13.9844,121.8107,170,song,,,776491,https://creativecommons.org/licenses/by-nc-sa/4.0/,Dicrurus balicassius.csv,Dicrurus balicassius
Balicassiao,Dicrurus balicassius,,Jelle Scharringa,1985-04-14,11:30,"Pagbilao Zigzag Road (near  Pagbilao), Quezon, Calabarzon",Philippines,13.9844,121.8107,170,song,,"Hypsipetes philippinus,Gallus gallus",776489,https://creativecommons.org/licenses/by-nc-sa/4.0/,Dicrurus balicassius.csv,Dicrurus balicassius
Balicassiao,Dicrurus balicassius,,Jelle Scharringa,1985-04-14,09:30,"Pagbilao Zigzag Road (near  Pagbilao), Quezon, Calabarzon",Philippines,13.9844,121.8107,170,song,,Ptilinopus occipitalis,776488,https://creativecommons.org/licenses/by-nc-sa/4.0/,Dicrurus balicassius.csv,Dicrurus balicassius
Balicassiao,Dicrurus balicassius,mirabilis,Ding Li Yong,2012-04-14,08:00,"Mount Kanlaon, Negros",Philippines,10.4092,123.132,2300,song,,,697535,https://creativecommons.org/licenses/by-nc-nd/4.0/,Dicrurus balicassius.csv,Dicrurus balicassius
Balicassiao,Dicrurus balicassius,,Jelle Scharringa,1985-04-14,10:30,"Pagbilao, Quezon, Calabarzon",Philippines,13.9844,121.8107,170,"imitation, song, mimicry/imitation","One replying to song of Philippine Bulbul, in low stature forest on top of ridge.
",Hypsipetes philippinus,631764,https://creativecommons.org/licenses/by-nc-sa/4.0/,Dicrurus balicassius.csv,Dicrurus balicassius
Balicassiao,Dicrurus balicassius,samarensis,Frank Lambert,2020-02-19,12:56,"Near waterfall trail, Samar National Park, Eastern Visayas",Philippines,11.8265,125.289,190,song,Thanks to Rob Hutchinson for confirming the ID,,623051,https://creativecommons.org/licenses/by-nc-nd/4.0/,Dicrurus balicassius.csv,Dicrurus balicassius
Balicassiao,Dicrurus balicassius,samarensis,Frank Lambert,2020-02-20,13:00,"Trail to plateau, Samar National Park HQ, Eastern Visayas",Philippines,11.7931,125.1794,300,song,Split by some as Dicrurus striatus (Short-tailed Drongo),,616233,https://creativecommons.org/licenses/by-nc-nd/4.0/,Dicrurus balicassius.csv,Dicrurus balicassius
Balicassiao,Dicrurus balicassius,,Brendan Sloan,2018-05-30,16:00,Road Near Tres Marias Silago Leyte,Philippines,,,50 masl approx,"call, song",,,446940,https://creativecommons.org/licenses/by-nc-nd/4.0/,Dicrurus balicassius.csv,Dicrurus balicassius
Balicassiao,Dicrurus balicassius,samarensis,Rolf A. de By,2001-02-06,15:47,"Rajah Sikatuna NP, Bohol",Philippines,9.6982,124.1187,380,"call, song",Bird not seen but in canopy of not very tall trees.  Originally a mystery recording.  Desmond Allen kindly helped out.,Centropus melanops,411623,https://creativecommons.org/licenses/by-nc-sa/4.0/,Dicrurus balicassius.csv,Dicrurus balicassius
Balicassiao,Dicrurus balicassius,,Ross Gallardy,2016-05-18,08:30,"Twin Lakes, Negros Oriental, Central Visayas",Philippines,9.3607,123.1788,900,call,,,321031,https://creativecommons.org/licenses/by-nc-sa/4.0/,Dicrurus balicassius.csv,Dicrurus balicassius
Balicassiao,Dicrurus balicassius,striatus,Frank Lambert,2010-04-18,?,Mindanao: Bislig; PICOP,Philippines,8.257,126.221,100,song,Probably the same bird as XC268925,,268927,https://creativecommons.org/licenses/by-nc-nd/4.0/,Dicrurus balicassius.csv,Dicrurus balicassius
Balicassiao,Dicrurus balicassius,striatus,Frank Lambert,2010-04-18,?,Mindanao: Bislig; PICOP,Philippines,8.257,126.221,100,song,,,268925,https://creativecommons.org/licenses/by-nc-nd/4.0/,Dicrurus balicassius.csv,Dicrurus balicassius
Balicassiao,Dicrurus balicassius,striatus,Mike Nelson,2015-01-24,09:30,"PICOP, Bislig, Mindanao",Philippines,8.2589,126.1537,160,song,,,239323,https://creativecommons.org/licenses/by-nc-sa/4.0/,Dicrurus balicassius.csv,Dicrurus balicassius
Balicassiao,Dicrurus balicassius,,Oscar Campbell,2014-07-15,06:30,"Rajah Sikatuna NP, Bohol",Philippines,9.6982,124.1187,380,song,Two birds calling from canopy on clearing edge at dawn.,,190220,https://creativecommons.org/licenses/by-nc-sa/4.0/,Dicrurus balicassius.csv,Dicrurus balicassius
Balicassiao,Dicrurus balicassius,samarensis,Stijn De Win,2011-09-15,07:00,"Lake Danao, Leyte, Eastern Visayas",Philippines,11.075,124.691,700,song,,,182014,https://creativecommons.org/licenses/by-nc-sa/4.0/,Dicrurus balicassius.csv,Dicrurus balicassius
