"Common name","Scientific name",Subspecies,Recordist,Date,Time,Location,Country,Latitude,Longitude,Elevation,Songtype,Remarks,Back_latin,"Catalogue number",License
"Rufous Coucal","Centropus unirufus",,"Frank Lambert",0000-00-00,?,"Luzon, Cagayan Province, Isabella, Sierra Madre Mts., Mt. Hamut",Philippines,17.55,121.95,?,song,,,57585,//creativecommons.org/licenses/by-nc-nd/4.0/
"Scale-feathered Malkoha","Dasylophus cumingi",,"Frank Lambert",0000-00-00,?,"Luzon, Cagayan Province, Isabella, Sierra Madre Mts., Mt. Hamut",Philippines,17.55,121.95,?,song,"lost the original and this is a copy kindly provided to me by Des Allen. ",,57579,//creativecommons.org/licenses/by-nc-nd/4.0/
"Brown-banded Rail","Lewinia mirifica",,"Desmond Allen",0000-00-00,?:?,"Dalton Pass, Luzon",Philippines,,,?,call,"calling from a bird bag. same individuals as other cut",,81144,//creativecommons.org/licenses/by-nc-nd/2.5/
"Brown-banded Rail","Lewinia mirifica",,"Desmond Allen",0000-00-00,?:?,"Dalton Pass, Luzon",Philippines,,,?,call,"calling from a bird bag. same individuals as other cut",,81143,//creativecommons.org/licenses/by-nc-nd/2.5/
"Oriental Pratincole","Glareola maldivarum",,"Desmond Allen",0000-00-00,?:?,"Dalupiri, Babuyan Islands",Philippines,,,?,call,"birds calling in flight",,79275,//creativecommons.org/licenses/by-nc-nd/2.5/
"Philippine Trogon","Harpactes ardens",minor,"Desmond Allen",0000-00-00,?:?,"Polillo, Polillo Island, Quezon Province, Luzon",Philippines,,,?,call,"bird calling",,79246,//creativecommons.org/licenses/by-nc-nd/2.5/
"White-bellied Woodpecker","Dryocopus javensis",javensis,"Frank Lambert",0000-00-00,?:?,"Luzon, Sierra Madre Mountains, near Mt. Hamut, inland from Tutigara",Philippines,17.55,121.95,?,call,"Previously published on AVoCet as <a href=http://avocet.zoology.msu.edu/recordings/5072>AV5072</a>.  Certainty: 100%.  ID determined by: not specifically indicated; recordist normally sees birds recorded and indicates if any question. GPS: Xeno-canto.   Recorded 20-24 May 1997",,68192,//creativecommons.org/licenses/by-nc-nd/4.0/
"White-bellied Woodpecker","Dryocopus javensis",confusus,"Frank Lambert",0000-00-00,?:?,"Luzon, Sierra Madre Mountains, near Mt. Hamut, inland from Tutigara",Philippines,17.55,121.95,?,call,"Previously published on AVoCet as <a href=http://avocet.zoology.msu.edu/recordings/5071>AV5071</a>.  Certainty: 100%.  ID determined by: not specifically indicated; recordist normally sees birds recorded and indicates if any question. GPS: Xeno-canto.   Recorded 20-24 May 1997",,68191,//creativecommons.org/licenses/by-nc-nd/4.0/
"Blackish Cuckooshrike","Edolisoma coerulescens",coerulescens,"Frank Lambert",0000-00-00,?,"Luzon, Cagayan Province, Isabella, Sierra Madre Mts., Mt. Hamut",Philippines,17.55,121.95,?,song,,,57584,//creativecommons.org/licenses/by-nc-nd/4.0/
"Black-and-white Triller","Lalage melanoleuca",,"Desmond Allen",0000-00-00,?:?,"Mount Makiling National Park, Laguna Province, Luzon",Philippines,,,?,song,"bird singing from tree",,79336,//creativecommons.org/licenses/by-nc-nd/2.5/
