"Common name","Scientific name",Subspecies,Recordist,Date,Time,Location,Country,Latitude,Longitude,Elevation,Songtype,Remarks,Back_latin,"Catalogue number",License
"Palawan Crow","Corvus pusillus",,"Paul Noakes",2009-04-25,12:00,"Near Sabang, Palawan ",Philippines,10.195494,118.918419,?,?,"? split as Palawan crow",,39854,//creativecommons.org/licenses/by-nc-nd/2.5/
"Palawan Crow","Corvus pusillus",,"Paul Noakes",2009-05-10,12:00,"Sablayan Penal Colony, Mindoro ",Philippines,12.812052,120.924282,?,?,"slightly different from Palawan birds",,39856,//creativecommons.org/licenses/by-nc-nd/2.5/
"Visayan Shama","Copsychus superciliaris",,"Paul Noakes",2009-04-29,06:00,"Mt Kanla-on, Negros ",Philippines,10.395975,123.126526,?,?,,,39851,//creativecommons.org/licenses/by-nc-nd/2.5/
"Palawan Crow","Corvus pusillus",,"Paul Noakes",2009-05-10,12:00,"Sablayan Penal Colony, Mindoro ",Philippines,12.812052,120.924282,?,?,"slightly different from Palawan birds",,39855,//creativecommons.org/licenses/by-nc-nd/2.5/
"Philippine Duck","Anas luzonica",,"David Edwards",2009-04-00,?:?,"Candaba Marshes, Luzon",Philippines,15.11621,120.828409,50,call,,,35245,//creativecommons.org/licenses/by-nc-nd/2.5/
"Philippine Duck","Anas luzonica",,"David Edwards",2009-04-00,?:?,"Candaba Marshes, Luzon",Philippines,15.11621,120.828409,50,call,,,35244,//creativecommons.org/licenses/by-nc-nd/2.5/
"Great Eared Nightjar","Lyncornis macrotis",macrotis,"Frank Lambert",2009-12-10,?:?,"Mindanao; Zamboanga, Pasonanca Watershed Reserve, Cabonegro",Philippines,6.9,122.1,600,song,"Previously published on AVoCet as <a href=http://avocet.zoology.msu.edu/recordings/10928>AV10928</a>.  Certainty: 100%.  ID determined by: not specifically indicated; recordist normally sees birds recorded and indicates if any question. GPS: recordist's estimate.",,68281,//creativecommons.org/licenses/by-nc-nd/4.0/
"Great Eared Nightjar","Lyncornis macrotis",macrotis,"Frank Lambert",2009-12-10,?:?,"Mindanao; Zamboanga, Pasonanca Watershed Reserve, Cabonegro",Philippines,6.9,122.1,600,song,"Previously published on AVoCet as <a href=http://avocet.zoology.msu.edu/recordings/10927>AV10927</a>.  Certainty: 100%.  ID determined by: not specifically indicated; recordist normally sees birds recorded and indicates if any question. GPS: estimate from Google Earth.",,68280,//creativecommons.org/licenses/by-nc-nd/4.0/
"Large-tailed Nightjar","Caprimulgus macrurus",,"Paul Noakes",2009-04-25,19:30,"Near Sabang, Palawan ",Philippines,10.195494,118.918419,?,?,,,39679,//creativecommons.org/licenses/by-nc-nd/2.5/
"Philippine Frogmouth","Batrachostomus septimus",,"Frank Lambert",2009-12-12,?:?,"Mindanao; Zamboanga, Pasonanca Watershed Reserve, Japa",Philippines,7.039,122.093,550,song,"Previously published on AVoCet as <a href=http://avocet.zoology.msu.edu/recordings/10892>AV10892</a>.  Certainty: slightly less than 100%.  ID determined by: not specifically indicated; recordist normally sees birds recorded and indicates if any question. GPS: recordist's estimate. could be calls",,67713,//creativecommons.org/licenses/by-nc-nd/4.0/
"Philippine Frogmouth","Batrachostomus septimus",,"Frank Lambert",2009-12-12,?:?,"Mindanao; Zamboanga Watershed, Japa",Philippines,6.9,122.1,?,call,"Previously published on AVoCet as <a href=http://avocet.zoology.msu.edu/recordings/8089>AV8089</a>.  Certainty: 100%.  ID determined by: not specifically indicated; recordist normally sees birds recorded and indicates if any question; distinctive. GPS: estimate. could be song",,67712,//creativecommons.org/licenses/by-nc-nd/4.0/
"Philippine Frogmouth","Batrachostomus septimus",,"Frank Lambert",2009-12-12,?:?,"Mindanao; Zamboanga Watershed, Japa",Philippines,6.9,122.1,?,call,"Previously published on AVoCet as <a href=http://avocet.zoology.msu.edu/recordings/8129>AV8129</a>.  Certainty: 100%.  ID determined by: not specifically indicated; recordist normally sees birds recorded and indicates if any question. GPS: estimate. could be song",,67711,//creativecommons.org/licenses/by-nc-nd/4.0/
"Philippine Frogmouth","Batrachostomus septimus",,"Frank Lambert",2009-12-09,?:?,"Mindanao; Zamboanga, Cabo Negro",Philippines,7.1087,122.0793,?,call,"Previously published on AVoCet as <a href=http://avocet.zoology.msu.edu/recordings/8131>AV8131</a>.  Certainty: 100%.  ID determined by: not specifically indicated; recordist normally sees birds recorded and indicates if any question. GPS: estimate. could be song",,67710,//creativecommons.org/licenses/by-nc-nd/4.0/
"Philippine Frogmouth","Batrachostomus septimus",,"Frank Lambert",2009-12-09,?:?,"Mindanao; Zamboanga, Cabo Negro",Philippines,7.1087,122.0793,?,call,"Previously published on AVoCet as <a href=http://avocet.zoology.msu.edu/recordings/8130>AV8130</a>.  Certainty: 100%.  ID determined by: not specifically indicated; recordist normally sees birds recorded and indicates if any question. GPS: estimate. could be song",,67709,//creativecommons.org/licenses/by-nc-nd/4.0/
"Philippine Frogmouth","Batrachostomus septimus",,"Frank Lambert",2009-12-10,?:?,"Mindanao; Zamboanga, Cabo Negro",Philippines,7.1087,122.0793,?,call,"Previously published on AVoCet as <a href=http://avocet.zoology.msu.edu/recordings/8128>AV8128</a>.  Certainty: slightly less than 100%.  ID determined by: not narrated. GPS: estimate.",,67708,//creativecommons.org/licenses/by-nc-nd/4.0/
"Ridgetop Swiftlet","Collocalia isonota",,"Desmond Allen",2009-01-03,?:?,"Tadao, Ilocos Norte Province, Luzon",Philippines,,,?,call,"flight calls",,79245,//creativecommons.org/licenses/by-nc-nd/2.5/
"Pygmy Swiftlet","Collocalia troglodytes",,"Desmond Allen",2009-01-03,?:?,"Tadao, Ilocos Norte Province, Luzon",Philippines,,,?,call,"flight calls",,79244,//creativecommons.org/licenses/by-nc-nd/2.5/
"Rufous Coucal","Centropus unirufus",,"David Edwards",2009-04-00,?:?,"Subic Bay, Luzon",Philippines,14.808077,120.237808,100,song,,,35264,//creativecommons.org/licenses/by-nc-nd/2.5/
"Rufous Coucal","Centropus unirufus",,"Paul Noakes",2009-05-15,17:00,"Hamut Camp #1, Baliuag, Sierra Madre Mountains, Luzon",Philippines,17.5553,121.9151,?,?,"large group",,41007,//creativecommons.org/licenses/by-nc-nd/2.5/
"Rufous Coucal","Centropus unirufus",,"Paul Noakes",2009-04-21,09:00,"Subic Bay, Luzon ",Philippines,14.808077,120.237808,?,?,"large group",,41006,//creativecommons.org/licenses/by-nc-nd/2.5/
"Black-faced Coucal","Centropus melanops",melanops,"Frank Lambert",2009-12-09,?:?,"Mindanao; Zamboanga, Pasonanca Watershed Reserve, Cabonegro",Philippines,6.9,122.1,620,song,"Previously published on AVoCet as <a href=http://avocet.zoology.msu.edu/recordings/10888>AV10888</a>.  Certainty: 100%.  ID determined by: not specifically indicated; recordist normally sees birds recorded and indicates if any question. GPS: estimate from Google Earth.",,67888,//creativecommons.org/licenses/by-nc-nd/4.0/
"Black-faced Coucal","Centropus melanops",melanops,"Frank Lambert",2009-12-09,?:?,"Mindanao; Zamboanga, Pasonanca Watershed Reserve, Cabonegro",Philippines,6.9,122.1,620,song,"Previously published on AVoCet as <a href=http://avocet.zoology.msu.edu/recordings/10884>AV10884</a>.  Certainty: 100%.  ID determined by: not specifically indicated; recordist normally sees birds recorded and indicates if any question. GPS: estimate from Google Earth.",,67887,//creativecommons.org/licenses/by-nc-nd/4.0/
"Black-faced Coucal","Centropus melanops",melanops,"Frank Lambert",2009-12-07,?:?,"Mindanao; Zamboanga, Pasonanca Watershed Reserve, Sitio Canucutan",Philippines,6.9,122.1,?,song,"Previously published on AVoCet as <a href=http://avocet.zoology.msu.edu/recordings/10889>AV10889</a>.  Certainty: 100%.  ID determined by: not specifically indicated; recordist normally sees birds recorded and indicates if any question. GPS: estimate from Google Earth.",,67886,//creativecommons.org/licenses/by-nc-nd/4.0/
"Black-faced Coucal","Centropus melanops",melanops,"Frank Lambert",2009-12-13,?:?,"Mindanao; Zamboanga, Pasonanca Watershed Reserve, Japa",Philippines,7.039,122.093,500,song,"Previously published on AVoCet as <a href=http://avocet.zoology.msu.edu/recordings/10887>AV10887</a>.  Certainty: 100%.  ID determined by: not specifically indicated; recordist normally sees birds recorded and indicates if any question. GPS: recordist's estimate.",,67885,//creativecommons.org/licenses/by-nc-nd/4.0/
"Black-faced Coucal","Centropus melanops",melanops,"Frank Lambert",2009-12-09,?:?,"Mindanao; Zamboanga, Pasonanca Watershed Reserve, Cabonegro",Philippines,6.9,122.1,650,song,"Previously published on AVoCet as <a href=http://avocet.zoology.msu.edu/recordings/10885>AV10885</a>.  Certainty: 100%.  ID determined by: not specifically indicated; recordist normally sees birds recorded and indicates if any question. GPS: estimate from Google Earth.",,67889,//creativecommons.org/licenses/by-nc-nd/4.0/
"Black-faced Coucal","Centropus melanops",,"Paul Noakes",2009-05-06,18:30,"PICOP, Bislig, Mindanao ",Philippines,8.2589,126.1537,?,"song, song at dusk",,,39535,//creativecommons.org/licenses/by-nc-nd/2.5/
"Black-faced Coucal","Centropus melanops",melanops,"Frank Lambert",2009-12-09,?:?,"Mindanao; Zamboanga, Pasonanca Watershed Reserve, Cabonegro",Philippines,6.9,122.1,650,song,"Previously published on AVoCet as <a href=http://avocet.zoology.msu.edu/recordings/10886>AV10886</a>.  Certainty: 100%.  ID determined by: not specifically indicated; recordist normally sees birds recorded and indicates if any question. GPS: estimate from Google Earth.",,67890,//creativecommons.org/licenses/by-nc-nd/4.0/
"Black-hooded Coucal","Centropus steerii",,"Paul Noakes",2009-05-09,15:00,"Sablayan Penal Colony, Mindoro",Philippines,12.812052,120.924282,?,?,,,39538,//creativecommons.org/licenses/by-nc-nd/2.5/
"Black-hooded Coucal","Centropus steerii",,"Paul Noakes",2009-05-09,15:00,"Sablayan Penal Colony, Mindoro",Philippines,12.812052,120.924282,?,?,,,39536,//creativecommons.org/licenses/by-nc-nd/2.5/
"Black-hooded Coucal","Centropus steerii",,"Paul Noakes",2009-05-09,15:00,"Sablayan Penal Colony, Mindoro",Philippines,12.812052,120.924282,?,?,,,39537,//creativecommons.org/licenses/by-nc-nd/2.5/
"Philippine Coucal","Centropus viridis",,"David Edwards",2009-04-00,?:?,"Hamut, Baliuag, Sierra Madre Mountains, Luzon",Philippines,17.5501,121.9501,800,song,,,35242,//creativecommons.org/licenses/by-nc-nd/2.5/
"Philippine Coucal","Centropus viridis",,"David Edwards",2009-04-00,?:?,"Hamut, Baliuag, Sierra Madre Mountains, Luzon",Philippines,17.5501,121.9501,800,song,,,35241,//creativecommons.org/licenses/by-nc-nd/2.5/
