"Common name","Scientific name",Subspecies,Recordist,Date,Time,Location,Country,Latitude,Longitude,Elevation,Songtype,Remarks,Back_latin,"Catalogue number",License
"Palawan Crow","Corvus pusillus",,"Mike Nelson",2015-01-29,10:00,"Sabang, Palawan",Philippines,10.1891,118.9047,110,call,,,239425,//creativecommons.org/licenses/by-nc-sa/4.0/
"Palawan Drongo","Dicrurus palawanensis",,"Mike Nelson",2015-01-28,09:30,"Iwahig, Palawan",Philippines,9.7429,118.6468,80,song,,,239388,//creativecommons.org/licenses/by-nc-sa/4.0/
"Palawan Crow","Corvus pusillus",,"Mike Nelson",2015-01-28,07:30,"Iwahig, Palawan",Philippines,9.7429,118.6468,80,call,,,239387,//creativecommons.org/licenses/by-nc-sa/4.0/
"Southern Sooty Woodpecker","Mulleripicus fuliginosus",,"Adri Constantino/ www.birdingphilippines.com",2015-04-01,05:30,"PICOP, Bislig, Surigao del Sur",Philippines,8.3034,126.1555,190,call,"Habitat: Bird perched on a 7-inches diameter tree, tree is around 10 meters high, with the bird halfway up the tree. 
Behavior: Bird was calling very early in the morning while it was still dark.","Hypsipetes everetti",315239,//creativecommons.org/licenses/by-nc-nd/4.0/
"Palawan Peacock-Pheasant","Polyplectron napoleonis",,"Mike Nelson",2015-01-28,07:30,"St. Paul's Subterranean national park, Palawan",Philippines,10.2005,118.9252,110,call,img:https://www.flickr.com/photos/madbirder/16228500849/in/album-72157649935668828/,,239418,//creativecommons.org/licenses/by-nc-sa/4.0/
"Great Eared Nightjar","Lyncornis macrotis",,"Mike Nelson",2015-01-25,05:30,"PICOP, Bislig, Mindanao",Philippines,8.2589,126.1537,160,song,,,239295,//creativecommons.org/licenses/by-nc-sa/4.0/
"Great Eared Nightjar","Lyncornis macrotis",,"Mike Nelson",2015-01-21,19:00,"Mount Kitanglad, Mindanao",Philippines,8.1238,124.9273,2500,call,,,239222,//creativecommons.org/licenses/by-nc-sa/4.0/
"Great Eared Nightjar","Lyncornis macrotis",,"Mike Nelson",2015-01-20,19:00,"Mount Kitanglad, Mindanao",Philippines,8.1238,124.9273,2500,call,,,239221,//creativecommons.org/licenses/by-nc-sa/4.0/
"Great Eared Nightjar","Lyncornis macrotis",,"Mike Nelson",2015-01-19,19:00,"Mount Kitanglad, Mindanao",Philippines,8.1238,124.9273,2500,call,,,239181,//creativecommons.org/licenses/by-nc-sa/4.0/
"Philippine Nightjar","Caprimulgus manillensis",,"Mike Nelson",2015-01-21,18:30,"Mount Kitanglad, Mindanao",Philippines,8.1238,124.9273,2500,song,,,239246,//creativecommons.org/licenses/by-nc-sa/4.0/
"Philippine Nightjar","Caprimulgus manillensis",,"Mike Nelson",2015-01-20,18:30,"Mount Kitanglad, Mindanao",Philippines,8.1238,124.9273,2500,song,,,239245,//creativecommons.org/licenses/by-nc-sa/4.0/
"Philippine Nightjar","Caprimulgus manillensis",,ChristopheD,2015-02-01,00:00,,Philippines,14.5423,121.0285,20,song,"I've been hearing this call mostly after 10pm. I thought it was an owl but I've listened to the call of many Philippino owls and I haven't recognized ""mine"". So this is a cry for help! :-)
Many thanks in advance
Cris",,212543,//creativecommons.org/licenses/by-nc-sa/4.0/
"Savanna Nightjar","Caprimulgus affinis",,emganin,2015-11-23,19:00,"Cavite City, Cavite, Calabarzon",Philippines,14.4791,120.897,10,call,"recorded by a friend of mine who asked for help -- he hears it only during dusk until evening.
sounds a bit like ETS, but it is alone -- he says he only hears a single bird calling each time -- unlikely to be ETS) solved",,291858,//creativecommons.org/licenses/by-nc-sa/4.0/
"Philippine Frogmouth","Batrachostomus septimus",septimus,"Mike Nelson",2015-01-24,05:00,"PICOP, Bislig, Mindanao",Philippines,8.2589,126.1537,160,call,,,239319,//creativecommons.org/licenses/by-nc-sa/4.0/
"Palawan Frogmouth","Batrachostomus chaseni",,"brendan sloan",2015-03-21,05:30,"Lions Cave near Sabang Palawan",Philippines,,,"30 masl",call,,,312601,//creativecommons.org/licenses/by-nc-sa/4.0/
"Palawan Frogmouth","Batrachostomus chaseni",,"Mike Nelson",2015-01-29,05:30,"Sabang, Palawan",Philippines,10.1891,118.9047,110,"call, song",img:https://www.flickr.com/photos/madbirder/16414745245/in/album-72157649935668828/,,239416,//creativecommons.org/licenses/by-nc-sa/4.0/
"Palawan Frogmouth","Batrachostomus chaseni",,"Mike Nelson",2015-01-29,05:30,"Sabang, Palawan",Philippines,10.1891,118.9047,110,"call, song",img:https://www.flickr.com/photos/madbirder/16414745245/in/album-72157649935668828/,,239415,//creativecommons.org/licenses/by-nc-sa/4.0/
"Palawan Frogmouth","Batrachostomus chaseni",,"Mike Nelson",2015-01-29,05:30,"Sabang, Palawan",Philippines,10.1891,118.9047,110,"call, song",img:https://www.flickr.com/photos/madbirder/16414745245/in/album-72157649935668828/,,239414,//creativecommons.org/licenses/by-nc-sa/4.0/
"Philippine Swiftlet","Aerodramus mearnsi",,"Mike Nelson",2015-01-20,11:30,"Mount Kitanglad, Mindanao",Philippines,8.1238,124.9273,2500,"flight call",,,239248,//creativecommons.org/licenses/by-nc-sa/4.0/
"Black-faced Coucal","Centropus melanops",,"Mike Nelson",2015-01-24,10:30,"PICOP, Bislig, Mindanao",Philippines,8.2589,126.1537,160,call,,,239314,//creativecommons.org/licenses/by-nc-sa/4.0/
"Black-faced Coucal","Centropus melanops",,"Mike Nelson",2015-01-23,09:00,"PICOP, Bislig, Mindanao",Philippines,8.2589,126.1537,160,call,,,239277,//creativecommons.org/licenses/by-nc-sa/4.0/
"Black-faced Coucal","Centropus melanops",,"Mike Nelson",2015-01-23,09:00,"PICOP, Bislig, Mindanao",Philippines,8.2589,126.1537,160,call,,,239276,//creativecommons.org/licenses/by-nc-sa/4.0/
"Black-faced Coucal","Centropus melanops",,"Mike Nelson",2015-01-24,10:30,"PICOP, Bislig, Mindanao",Philippines,8.2589,126.1537,160,call,,,239315,//creativecommons.org/licenses/by-nc-sa/4.0/
"Black-hooded Coucal","Centropus steerii",,"Brendan Sloan",2015-03-30,07:00,"Siburan Penal Colony Sablayan Mindoro",Philippines,,,"100 masl approx",call,,,339193,//creativecommons.org/licenses/by-nc-sa/4.0/
"Greater Coucal","Centropus sinensis",,"Mike Nelson",2015-01-28,10:30,"Sabang, Palawan",Philippines,10.1891,118.9047,110,call,,,239404,//creativecommons.org/licenses/by-nc-sa/4.0/
"Philippine Coucal","Centropus viridis",,"Mike Nelson",2015-01-24,10:30,"PICOP, Bislig, Mindanao",Philippines,8.2589,126.1537,160,call,,,239313,//creativecommons.org/licenses/by-nc-sa/4.0/
"Philippine Coucal","Centropus viridis",,"Mike Nelson",2015-01-24,10:00,"PICOP, Bislig, Mindanao",Philippines,8.2589,126.1537,160,call,,,239312,//creativecommons.org/licenses/by-nc-sa/4.0/
"Philippine Drongo-Cuckoo","Surniculus velutinus",,"Mike Nelson",2015-01-24,09:00,"PICOP, Bislig, Mindanao",Philippines,8.2589,126.1537,160,song,,,239317,//creativecommons.org/licenses/by-nc-sa/4.0/
"Philippine Drongo-Cuckoo","Surniculus velutinus",,"Mike Nelson",2015-01-24,09:00,"PICOP, Bislig, Mindanao",Philippines,8.2589,126.1537,160,song,,,239316,//creativecommons.org/licenses/by-nc-sa/4.0/
"Philippine Hawk-Cuckoo","Hierococcyx pectoralis",,"Mike Nelson",2015-01-21,11:30,"Mount Kitanglad, Mindanao",Philippines,8.1238,124.9273,2500,song,img:https://www.flickr.com/photos/madbirder/16200512990/in/set-72157649935668828,,239244,//creativecommons.org/licenses/by-nc-sa/4.0/
"Philippine Hawk-Cuckoo","Hierococcyx pectoralis",,"Mike Nelson",2015-01-19,17:00,"Mount Kitanglad, Mindanao",Philippines,8.1238,124.9273,2500,song,,,239242,//creativecommons.org/licenses/by-nc-sa/4.0/
"Philippine Hawk-Cuckoo","Hierococcyx pectoralis",,"Mike Nelson",2015-01-19,17:00,"Mount Kitanglad, Mindanao",Philippines,8.1238,124.9273,2500,song,,,239243,//creativecommons.org/licenses/by-nc-sa/4.0/
"White-eared Brown Dove","Phapitreron leucotis",,"Mike Nelson",2015-01-25,10:00,"PICOP, Bislig, Mindanao",Philippines,8.2589,126.1537,160,song,,,239344,//creativecommons.org/licenses/by-nc-sa/4.0/
"White-eared Brown Dove","Phapitreron leucotis",,"Mike Nelson",2015-01-25,10:00,"PICOP, Bislig, Mindanao",Philippines,8.2589,126.1537,160,song,,,239343,//creativecommons.org/licenses/by-nc-sa/4.0/
"Mindanao Brown Dove","Phapitreron brunneiceps",,"Brendan Sloan",2015-03-16,13:00,"Compostela Valley Mountains Mindanao",Philippines,,,"1300 masl approx",call,,,338719,//creativecommons.org/licenses/by-nc-sa/4.0/
"Philippine Green Pigeon","Treron axillaris",,"Mike Nelson",2015-01-24,09:00,"PICOP, Bislig, Mindanao",Philippines,8.2589,126.1537,160,song,img:https://www.flickr.com/photos/madbirder/15773187523/in/set-72157649935668828,,239320,//creativecommons.org/licenses/by-nc-sa/4.0/
"Green Imperial Pigeon","Ducula aenea",,"Mike Nelson",2015-01-28,10:30,"Sabang, Palawan",Philippines,10.1891,118.9047,110,call,,,239405,//creativecommons.org/licenses/by-nc-sa/4.0/
