"Common name","Scientific name",Subspecies,Recordist,Date,Time,Location,Country,Latitude,Longitude,Elevation,Songtype,Remarks,Back_latin,"Catalogue number",License
"Black-naped Fruit Dove","Ptilinopus melanospilus",,"Desmond Allen",1995-01-01,?:?,"Tawi-Tawi, Sulu Archipelago",Philippines,5.149,120,?,call,"bird calling",,79319,//creativecommons.org/licenses/by-nc-nd/2.5/
"Sulu Hornbill","Anthracoceros montani",,"Desmond Allen",1995-01-01,?:?,"Tawi-Tawi, Sulu Archipelago",Philippines,5.149,120,?,call,"single call series",,79269,//creativecommons.org/licenses/by-nc-nd/2.5/
"Writhed Hornbill","Rhabdotorrhinus leucocephalus",,"Desmond Allen",1995-01-09,?:?,"Sitio Siete, South Cotabato Province, Mindanao",Philippines,,,?,call,"bird calling",,79262,//creativecommons.org/licenses/by-nc-nd/2.5/
"White-bellied Woodpecker","Dryocopus javensis",multilunatus,"Desmond Allen",1995-09-20,?:?,"Sitio Siete, South Cotabato, Mindanao",Philippines,,,?1600,uncertain,"ID corrected for racquettail by Rob Hutchinson",,81131,//creativecommons.org/licenses/by-nc-nd/2.5/
"Pied Triller","Lalage nigra",,"Desmond Allen",1995-01-01,?:?,"Tawi-Tawi, Sulu Archipelago",Philippines,5.149,120,?,call,"birds calling",,79335,//creativecommons.org/licenses/by-nc-nd/2.5/
"Everett's White-eye","Zosterops everetti",,"Desmond Allen",1995-01-08,?:?,"Tawi-Tawi, Sulu Archipelago",Philippines,5.149,120,?,call,"Bird singing against a motor",,79218,//creativecommons.org/licenses/by-nc-nd/2.5/
"Asian Glossy Starling","Aplonis panayensis",,"Desmond Allen",1995-01-01,?:?,"Tawi-Tawi, Sulu Archipelago",Philippines,5.149,120,?,call,"birds in flock calling",,79320,//creativecommons.org/licenses/by-nc-nd/2.5/
"White-browed Shortwing","Brachypteryx montana",,"Desmond Allen",1995-01-09,?:?,"Sitio Siete, South Cotabato Province, Mindanao",Philippines,,,?,call,"brief burst of song",,79300,//creativecommons.org/licenses/by-nc-nd/2.5/
