"Common name","Scientific name",Subspecies,Recordist,Date,Time,Location,Country,Latitude,Longitude,Elevation,Songtype,Remarks,Back_latin,"Catalogue number",License
"Red Junglefowl","Gallus gallus",,"Greg Irving",2024-03-29,10:14,"Hospital Road, Subic Bay Freeport Zone, Bataan, Central Luzon",Philippines,14.7821,120.302,160,call,,"Edolisoma coerulescens",897292,//creativecommons.org/licenses/by-nc-sa/4.0/
"Great Eared Nightjar","Lyncornis macrotis",macrotis,"Hans Matheve",2024-03-04,?,"Rajah Sikatuna, Bohol, Central Visayas",Philippines,9.7056,124.1234,400,song,,,963551,//creativecommons.org/licenses/by-nc-nd/4.0/
"Large-tailed Nightjar","Caprimulgus macrurus",johnsoni,"Greg Irving",2024-03-21,18:45,"Irawan Eco Park, Puerto Princesa, Palawan, MIMAROPA",Philippines,9.8122,118.6909,50,song,"5-10 individuals present",,895678,//creativecommons.org/licenses/by-nc-sa/4.0/
"Large-tailed Nightjar","Caprimulgus macrurus",johnsoni,"Greg Irving",2024-03-21,18:44,"Irawan Eco Park, Puerto Princesa, Palawan, MIMAROPA",Philippines,9.8122,118.6909,50,song,"4-6 individuals seen","Strix seloputo",895676,//creativecommons.org/licenses/by-nc-sa/4.0/
"Large-tailed Nightjar","Caprimulgus macrurus",johnsoni,"Greg Irving",2024-03-19,18:49,"Cana Island, Puerto Princesa, Palawan, MIMAROPA",Philippines,9.7636,118.7198,0,song,"Singing from deep inside the mangroves that rim the small island.  Same individual as XC892778, XC892779, XC892780","Todiramphus chloris",892781,//creativecommons.org/licenses/by-nc-sa/4.0/
"Large-tailed Nightjar","Caprimulgus macrurus",johnsoni,"Greg Irving",2024-03-19,18:42,"Cana Island, Puerto Princesa, Palawan, MIMAROPA",Philippines,9.7636,118.7198,0,song,"Singing from deep inside the mangroves that rim the small island.  Same individual as XC892778, XC892779, XC892781",,892780,//creativecommons.org/licenses/by-nc-sa/4.0/
"Large-tailed Nightjar","Caprimulgus macrurus",johnsoni,"Greg Irving",2024-03-19,18:39,"Cana Island, Puerto Princesa, Palawan, MIMAROPA",Philippines,9.7636,118.7198,0,song,"Singing from deep inside the mangroves that rim the small island.  Same individual as XC892778, XC892780, XC892781","Otus mantananensis",892779,//creativecommons.org/licenses/by-nc-sa/4.0/
"Large-tailed Nightjar","Caprimulgus macrurus",johnsoni,"Greg Irving",2024-03-19,18:36,"Cana Island, Puerto Princesa, Palawan, MIMAROPA",Philippines,9.7636,118.7198,0,song,"Singing from deep inside the mangroves that rim the small island. Same individual as XC892779, XC892780, XC892781",,892778,//creativecommons.org/licenses/by-nc-sa/4.0/
"Philippine Nightjar","Caprimulgus manillensis",,"Hans Matheve",2024-03-14,?,"Mt Kitanglad (Del Monte Lodge), Bukidnon, Northern Mindanao",Philippines,8.1449,124.9832,1500,song,,,964163,//creativecommons.org/licenses/by-nc-nd/4.0/
"Philippine Nightjar","Caprimulgus manillensis",,"Hans Matheve",2024-03-14,?,"Mt Kitanglad (Del Monte Lodge), Bukidnon, Northern Mindanao",Philippines,8.1449,124.9832,1500,song,,,964160,//creativecommons.org/licenses/by-nc-nd/4.0/
"Philippine Nightjar","Caprimulgus manillensis",,"Hans Matheve",2024-03-14,?,"Mt Kitanglad (Del Monte Lodge), Bukidnon, Northern Mindanao",Philippines,8.1449,124.9832,1500,song,,,964159,//creativecommons.org/licenses/by-nc-nd/4.0/
"Philippine Nightjar","Caprimulgus manillensis",,"Hans Matheve",2024-03-14,?,"Mt Kitanglad (Del Monte Lodge), Bukidnon, Northern Mindanao",Philippines,8.1449,124.9832,1500,call,,,964158,//creativecommons.org/licenses/by-nc-nd/4.0/
"Philippine Frogmouth","Batrachostomus septimus",septimus,"Hans Matheve",2024-03-11,?,"PICOP road 4",Philippines,8.2575,126.1493,170,call,,,963930,//creativecommons.org/licenses/by-nc-nd/4.0/
