"Common name","Scientific name",Subspecies,Recordist,Date,Time,Location,Country,Latitude,Longitude,Elevation,Songtype,Remarks,Back_latin,"Catalogue number",License
"Visayan Shama","Copsychus superciliaris",,"William Ruscher",2004-04-22,08:00,"Mt. Talinas,  Negros Oriental",Philippines,9.2539,123.2153,680,song,"recorded with the internal mics of a Sony pocket recorder, while climbing the trail up Mt. Talinas",,23922,//creativecommons.org/licenses/by-nc-nd/2.5/
"Philippine Megapode","Megapodius cumingii",,"Desmond Allen",2004-01-04,?:?,"Camiguin Norte, Babuyan Islands",Philippines,,,?,song,"bird singing from calling ground",,79330,//creativecommons.org/licenses/by-nc-nd/2.5/
"Metallic Pigeon","Columba vitiensis",,"Desmond Allen",2004-01-05,?:?,"Camiguin Norte, Babuyan Islands",Philippines,,,?,call,"booming calls",,79289,//creativecommons.org/licenses/by-nc-nd/2.5/
"Philippine Cuckoo-Dove","Macropygia tenuirostris",,"Desmond Allen",2004-01-04,?:?,"Babuyan Claro, Babuyan Islands",Philippines,,,?,call,"bird calling",,79283,//creativecommons.org/licenses/by-nc-nd/2.5/
"Black-chinned Fruit Dove","Ptilinopus leclancheri",,"Desmond Allen",2004-01-04,?:?,"Camiguin Norte, Babuyan Islands",Philippines,,,?,call,"bird calling",,79236,//creativecommons.org/licenses/by-nc-nd/2.5/
"Calayan Rail","Gallirallus calayanensis",,"Desmond Allen",2004-01-04,?:?,"Calayan, Babuyan Islands",Philippines,,,?,call,"alarm calls (apparently)",,79326,//creativecommons.org/licenses/by-nc-nd/2.5/
"Barred Rail","Hypotaenidia torquata",,"Desmond Allen",2004-01-04,?:?,"Babuyan Claro, Babuyan Islands",Philippines,,,?,call,"birds calling",,79327,//creativecommons.org/licenses/by-nc-nd/2.5/
"White-browed Crake","Poliolimnas cinereus",,"Desmond Allen",2004-01-03,?:?,"Camiguin Norte, Babuyan Islands",Philippines,,,?,call,"typical squeaky toy calls",,79325,//creativecommons.org/licenses/by-nc-nd/2.5/
"Malaysian Plover","Charadrius peronii",,"Desmond Allen",2004-01-04,?:?,"Dalupiri, Babuyan Islands",Philippines,,,?,call,"contact or alarm calls between pair on beach",,79282,//creativecommons.org/licenses/by-nc-nd/2.5/
"Yellow-bellied Whistler","Pachycephala philippinensis",,"Desmond Allen",2004-01-04,?:?,"Calayan, Babuyan Islands",Philippines,,,?,song,"bird singing",,79241,//creativecommons.org/licenses/by-nc-nd/2.5/
"Short-crested Monarch","Hypothymis helenae",,"Desmond Allen",2004-01-03,?:?,"Camiguin Norte, Babuyan Islands",Philippines,,,?,call,"Song and various calls",,79223,//creativecommons.org/licenses/by-nc-nd/2.5/
"Philippine Tailorbird","Orthotomus castaneiceps",,"William Ruscher",2004-04-22,07:30,"Mt. Talinas,  Negros Oriental",Philippines,9.2539,123.2153,670,call,"recorded with the internal mics of a Sony pocket recorder, while climbing the trail up Mt. Talinas",,23921,//creativecommons.org/licenses/by-nc-nd/2.5/
"Yellowish White-eye","Zosterops nigrorum",meyleri,"Desmond Allen",2004-01-04,?:?,"Camiguin Norte, Babuyan Islands",Philippines,,,?,call,"Bird calling",,79222,//creativecommons.org/licenses/by-nc-nd/2.5/
"Crested Myna","Acridotheres cristatellus",,"Desmond Allen",2004-01-04,?:?,"Dalupiri, Babuyan Islands",Philippines,,,?,call,"flight calls",,79292,//creativecommons.org/licenses/by-nc-nd/2.5/
"Mangrove Blue Flycatcher","Cyornis rufigastra",,"Desmond Allen",2004-01-05,?:?,"Camiguin Norte, Babuyan Islands",Philippines,,,?,song,"bird in understorey singing",,79306,//creativecommons.org/licenses/by-nc-nd/2.5/
"Pygmy Flowerpecker","Dicaeum pygmaeum",fugaense,"Desmond Allen",2004-01-04,?:?,"Calayan, Babuyan Islands",Philippines,,,?,song,"Bird singing from tree in clearing",,79224,//creativecommons.org/licenses/by-nc-nd/2.5/
"White-bellied Munia","Lonchura leucogastra",,"Desmond Allen",2004-01-04,?:?,"Calayan, Babuyan Islands",Philippines,,,?,call,"small flock in ricefields calling",,79304,//creativecommons.org/licenses/by-nc-nd/2.5/
