"Common name","Scientific name",Subspecies,Recordist,Date,Time,Location,Country,Latitude,Longitude,Elevation,Songtype,Remarks,Back_latin,"Catalogue number",License
"Philippine Swiftlet","Aerodramus mearnsi",,"Desmond Allen",2007-12-27,?:?,"Sagada, Mountain Province, Luzon",Philippines,,,?,call,"bird calling in flight",,79155,//creativecommons.org/licenses/by-nc-nd/2.5/
"Cream-breasted Fruit Dove","Ptilinopus merrilli",,"George Wagner",2007-03-07,?,"Hamut Camp #2, Baliuag, Sierra Madre Mountains, Luzon",Philippines,17.5506,121.9487,1000,call,,,23076,//creativecommons.org/licenses/by-nc-nd/2.5/
"Philippine Serpent Eagle","Spilornis holospilus",,"Desmond Allen",2007-01-11,?:?,"Camiguin Sur",Philippines,9.2062,124.6931,?,call,"bird calling overhead",,79331,//creativecommons.org/licenses/by-nc-nd/2.5/
"White-bellied Sea Eagle","Haliaeetus leucogaster",,"Desmond Allen",2007-01-01,?:?,"Manila, Luzon",Philippines,,,?,call,"birds in cage in zoo calling",,79333,//creativecommons.org/licenses/by-nc-nd/2.5/
"Luzon Hawk-Owl","Ninox philippensis",,"George Wagner",2007-03-06,?,"Hamut Camp #2, Baliuag, Sierra Madre Mountains, Luzon",Philippines,17.5506,121.9487,1000,call,,,23116,//creativecommons.org/licenses/by-nc-nd/2.5/
"Giant Scops Owl","Otus gurneyi",,"George Wagner",2007-02-23,05:30,"Mount Kitanglad, Mindanao",Philippines,8.123812,124.927254,1400,call,,,23115,//creativecommons.org/licenses/by-nc-nd/2.5/
"Luzon Scops Owl","Otus longicornis",,"George Wagner",2007-03-11,20:00,"Mount Data, Luzon",Philippines,16.87889,120.84056,2300,call,,,23079,//creativecommons.org/licenses/by-nc-nd/2.5/
"Philippine Scops Owl","Otus megalotis",,"George Wagner",2007-03-11,?,"Mount Data, Luzon",Philippines,16.87889,120.84056,2300,song,,,23085,//creativecommons.org/licenses/by-nc-nd/2.5/
"Philippine Scops Owl","Otus megalotis",,"Desmond Allen",2007-00-01,?:?,"Subic Bay, Luzon",Philippines,14.808077,120.237808,?,call,"Juvenile calling at night",,79153,//creativecommons.org/licenses/by-nc-nd/2.5/
"Spotted Wood Kingfisher","Actenoides lindsayi",,"George Wagner",2007-01-28,05:30,"Mount Makiling, Luzon",Philippines,14.13583,121.19,300,call,,,23083,//creativecommons.org/licenses/by-nc-nd/2.5/
"Green-backed Whistler","Pachycephala albiventris",,"Desmond Allen",2007-01-03,?:?,"Sagada, Mountain Province, Luzon",Philippines,,,?,song,"Bird singing in tree",,79248,//creativecommons.org/licenses/by-nc-nd/2.5/
"Horsfield's Bush Lark","Mirafra javanica",,"Desmond Allen",2007-02-16,?:?,"Barcelonita, Camarines Sur Province, Luzon",Philippines,,,?,call,"Bird calling from small grassy hummock",,79154,//creativecommons.org/licenses/by-nc-nd/2.5/
"Yellowish Bulbul","Hypsipetes everetti",everetti,"Djop Tabaranza",2007-03-28,07:00,"Tandag, Surigao del Sur, Caraga",Philippines,9.089,126.1312,260,song,"Tropical secondary forest. Bird perched.",,318975,//creativecommons.org/licenses/by-nc-sa/4.0/
"Yellowish Bulbul","Hypsipetes everetti",everetti,"Desmond Allen",2007-01-12,?:?,Dinagat,Philippines,,,?,call,"pair of birds whistling and calling discordantly above a stream",,79230,//creativecommons.org/licenses/by-nc-nd/2.5/
"Mountain Tailorbird","Phyllergates cucullatus",,"Desmond Allen",2007-01-12,?:?,"Sagada, Mountain Province, Luzon",Philippines,,,?,song,"bird singing",,79276,//creativecommons.org/licenses/by-nc-nd/2.5/
"Philippine Bush Warbler","Horornis seebohmi",,"George Wagner",2007-03-12,?,"Mount Data, Luzon",Philippines,16.87889,120.84056,2300,song,,,23086,//creativecommons.org/licenses/by-nc-nd/2.5/
"Lemon-throated Leaf Warbler","Phylloscopus cebuensis",,"Desmond Allen",2007-10-04,?:?,"Quezon National Forest Park, Quezon Province, Luzon",Philippines,,,?,call,"calls, possibly alarm calls, of bird on branch",,79151,//creativecommons.org/licenses/by-nc-nd/2.5/
"Sierra Madre Ground Warbler","Robsonius thompsoni",,"George Wagner",2007-03-07,?,"Hamut Camp #2, Baliuag, Sierra Madre Mountains, Luzon",Philippines,17.5506,121.9487,1000,song,,,23080,//creativecommons.org/licenses/by-nc-nd/2.5/
"Long-tailed Bush Warbler","Locustella caudata",,"George Wagner",2007-03-10,?,"Mount Polis, Luzon",Philippines,16.97472,121.02917,1800,song,,,23087,//creativecommons.org/licenses/by-nc-nd/2.5/
"Long-tailed Bush Warbler","Locustella caudata",,"Desmond Allen",2007-01-12,?:?,"Mount Data National Park, Mountain Province, Luzon",Philippines,,,?,call,"bird calling",,79264,//creativecommons.org/licenses/by-nc-nd/2.5/
"Long-tailed Bush Warbler","Locustella caudata",,"George Wagner",2007-02-22,?,"Mount Kitanglad, Mindanao",Philippines,8.123812,124.927254,1400,song,,,23088,//creativecommons.org/licenses/by-nc-nd/2.5/
"Benguet Bush Warbler","Locustella seebohmi",seebohmi,"George Wagner",2007-03-16,10:00,"Mount Polis, Luzon",Philippines,16.97472,121.02917,1700,song,"aka Benguet Bush-Warbler",,23074,//creativecommons.org/licenses/by-nc-nd/2.5/
"Rufous-fronted Tailorbird","Orthotomus frontalis",,"George Wagner",2007-02-17,?,"Rajah Sikatuna NP, Bohol",Philippines,9.698228,124.118729,350,song,,,23082,//creativecommons.org/licenses/by-nc-nd/2.5/
"Yellow-breasted Tailorbird","Orthotomus samarensis",,"George Wagner",2007-02-17,?,"Rajah Sikatuna NP, Bohol",Philippines,9.698228,124.118729,350,song,,,23084,//creativecommons.org/licenses/by-nc-nd/2.5/
"Golden-crowned Babbler","Sterrhoptilus dennistouni",,"Desmond Allen",2007-03-26,?:?,"Hamut Camp, Cagayan Province, Luzon",Philippines,17.5491,121.946,?,call,"Soft rising 'whip' calls of feeding bird",,79147,//creativecommons.org/licenses/by-nc-nd/2.5/
"Chestnut-faced Babbler","Zosterornis whiteheadi",,"George Wagner",2007-03-15,?,"Mount Polis, Luzon",Philippines,16.97472,121.02917,1700,song,,,23075,//creativecommons.org/licenses/by-nc-nd/2.5/
"Sunda Thrush","Zoothera andromedae",,"Desmond Allen",2007-01-01,?:?,-,Philippines,-,-,?,call,"high pitched rattling tsrsrsree call at intro is repeated amongst a welter of other dawn calls",,79284,//creativecommons.org/licenses/by-nc-nd/2.5/
"Little Slaty Flycatcher","Ficedula basilanica",,"George Wagner",2007-02-26,09:30,"PICOP, Bislig, Mindanao",Philippines,8.2589,126.1537,170,song,,,23078,//creativecommons.org/licenses/by-nc-nd/2.5/
