"Common name","Scientific name",Subspecies,Recordist,Date,Time,Location,Country,Latitude,Longitude,Elevation,Songtype,Remarks,Back_latin,"Catalogue number",License
"Visayan Shama","Copsychus superciliaris",,"Frank Lambert",2010-04-25,?,"Mt Canlaon, Negros",Philippines,10.396,123.1265,750,song,"Probably same bird as XC270006,  XC270007.",,270008,//creativecommons.org/licenses/by-nc-nd/4.0/
"Palawan Fairy-bluebird","Irena tweeddalii",,"Frank Lambert",2010-04-24,?,-,Philippines,-,-,50,"call, mobbing","Several birds, appeared to be mobbing something",,269412,//creativecommons.org/licenses/by-nc-nd/4.0/
"Palawan Crow","Corvus pusillus",,"Frank Lambert",2010-04-22,?,"Puerto Princesa, Palawan, MIMAROPA",Philippines,10.1913,118.8912,30,call,,,269406,//creativecommons.org/licenses/by-nc-nd/4.0/
"Palawan Crow","Corvus pusillus",,"Frank Lambert",2010-04-22,?,"Sabang, Palawan",Philippines,10.1913,118.8912,30,call,,,269402,//creativecommons.org/licenses/by-nc-nd/4.0/
"Visayan Rhabdornis","Rhabdornis rabori",,"Frank Lambert",2010-05-05,?:?,"Negros; Mt. Canlaon",Philippines,10.4,123.1,900,call,"Previously published on AVoCet as <a href=http://avocet.zoology.msu.edu/recordings/10579>AV10579</a>.  Certainty: slightly less than 100%.  ID determined by: not specifically indicated; recordist normally sees birds recorded and indicates if any question. GPS: estimate from Google Earth.",,69375,//creativecommons.org/licenses/by-nc-nd/4.0/
"Visayan Shama","Copsychus superciliaris",,"Frank Lambert",2010-04-28,?:?,"Negros; Mt. Canlaon",Philippines,10.4,123.1,800,song,"Previously published on AVoCet as <a href=http://avocet.zoology.msu.edu/recordings/10665>AV10665</a>.  Certainty: 100%.  ID determined by: not specifically indicated; recordist normally sees birds recorded and indicates if any question; distinctive. GPS: estimate from Google Earth.",,67991,//creativecommons.org/licenses/by-nc-nd/4.0/
"Camiguin Bulbul","Hypsipetes catarmanensis",,"George Wagner",2010-04-23,10:40,"Camiguin Sur",Philippines,9.2062,124.6931,500,song,"Suggested by some as a potentail future split due to different vocolization",,53980,//creativecommons.org/licenses/by-nc-nd/2.5/
"Camiguin Bulbul","Hypsipetes catarmanensis",,"George Wagner",2010-04-23,10:40,"Camiguin Sur",Philippines,9.2062,124.6931,500,call,"Suggested by some as a potentail future split due to different vocolization",,53979,//creativecommons.org/licenses/by-nc-nd/2.5/
"Small Crow","Corvus samarensis",sierramadrensis,"George Wagner",2010-04-02,17:05,"Magakong Camp, Sierra Mardre Mountains",Philippines,17.6039,121.9317,800,call,,,53928,//creativecommons.org/licenses/by-nc-nd/2.5/
"Small Crow","Corvus samarensis",sierramadrensis,"George Wagner",2010-04-02,17:05,"Magakong Camp, Sierra Mardre Mountains",Philippines,17.6039,121.9317,800,call,,,53927,//creativecommons.org/licenses/by-nc-nd/2.5/
"Visayan Shama","Copsychus superciliaris",,"Frank Lambert",2010-04-25,?,"Mt Canlaon, Negros",Philippines,10.396,123.1265,750,song,"Probably same bird as XC270006.",,270007,//creativecommons.org/licenses/by-nc-nd/4.0/
"Visayan Shama","Copsychus superciliaris",,"Frank Lambert",2010-04-25,?,"Mt Canlaon, Negros",Philippines,10.396,123.1265,750,song,,,270006,//creativecommons.org/licenses/by-nc-nd/4.0/
"Palawan Crow","Corvus pusillus",,"Frank Lambert",2010-04-22,?,"Puerto Princesa, Palawan, MIMAROPA",Philippines,10.1913,118.8912,30,call,,,269403,//creativecommons.org/licenses/by-nc-nd/4.0/
"Palawan Crow","Corvus pusillus",,"Frank Lambert",2010-04-22,?,"Sabang, Palawan",Philippines,10.1913,118.8912,30,call,,,269399,//creativecommons.org/licenses/by-nc-nd/4.0/
"Palawan Crow","Corvus pusillus",,"Frank Lambert",2010-04-22,?,"Puerto Princesa, Palawan, MIMAROPA",Philippines,10.1913,118.8912,30,call,,,269394,//creativecommons.org/licenses/by-nc-nd/4.0/
"Palawan Crow","Corvus pusillus",,"Frank Lambert",2010-04-22,?,"Sabang, Palawan",Philippines,10.1913,118.8912,30,call,,,269392,//creativecommons.org/licenses/by-nc-nd/4.0/
"Visayan Shama","Copsychus superciliaris",,"Frank Lambert",2010-05-01,?:?,"Negros; Mt. Canlaon",Philippines,10.4,123.1,800,song,"Previously published on AVoCet as <a href=http://avocet.zoology.msu.edu/recordings/10663>AV10663</a>.  Certainty: 100%.  ID determined by: not specifically indicated; recordist normally sees birds recorded and indicates if any question; distinctive. GPS: estimate from Google Earth.","Ninox philippensis",67990,//creativecommons.org/licenses/by-nc-nd/4.0/
"Palawan Crow","Corvus pusillus",,"George Wagner",2010-03-22,09:00,"Near Sabang, Palawan",Philippines,10.1953,118.9184,200,call,"aka Palawan Crow",,53923,//creativecommons.org/licenses/by-nc-nd/2.5/
"Palawan Peacock-Pheasant","Polyplectron napoleonis",,"Frank Lambert",2010-04-22,?:?,"Palawan; St. Paul's Park",Philippines,9.97,118.67,4,call,"Previously published on AVoCet as <a href=http://avocet.zoology.msu.edu/recordings/10576>AV10576</a>.  Certainty: 100%.  ID determined by: not specifically indicated; recordist normally sees birds recorded and indicates if any question; matches knowns. GPS: estimate from Google Earth. could be song",,69240,//creativecommons.org/licenses/by-nc-nd/4.0/
"Palawan Peacock-Pheasant","Polyplectron napoleonis",,"Frank Lambert",2010-04-22,?,"Palawan; St. Paul's Park",Philippines,9.97,118.67,5,call,,,269335,//creativecommons.org/licenses/by-nc-nd/4.0/
"Red Junglefowl","Gallus gallus",gallus,"Frank Lambert",2010-05-15,?:?,"Negros; Patag",Philippines,10.69,123.18,700,song,"Previously published on AVoCet as <a href=http://avocet.zoology.msu.edu/recordings/10788>AV10788</a>.  Certainty: 100%.  ID determined by: not specifically indicated; recordist normally sees birds recorded and indicates if any question. GPS: recordist's estimate.",,68357,//creativecommons.org/licenses/by-nc-nd/4.0/
"Philippine Frogmouth","Batrachostomus septimus",septimus,"Frank Lambert",2010-04-20,?:?,"Mindanao: Bislig; PICOP",Philippines,8.257,126.221,100,song,"Previously published on AVoCet as <a href=http://avocet.zoology.msu.edu/recordings/10851>AV10851</a>.  Certainty: 100%.  ID determined by: not specifically indicated; recordist normally sees birds recorded and indicates if any question. GPS: estimate from GPS. could be calls",,67715,//creativecommons.org/licenses/by-nc-nd/4.0/
"Philippine Frogmouth","Batrachostomus septimus",septimus,"Frank Lambert",2010-04-20,?:?,"Mindanao: Bislig; PICOP",Philippines,8.257,126.221,100,song,"Previously published on AVoCet as <a href=http://avocet.zoology.msu.edu/recordings/10850>AV10850</a>.  Certainty: 100%.  ID determined by: not specifically indicated; recordist normally sees birds recorded and indicates if any question. GPS: estimate from GPS coordinates. could be calls",,67714,//creativecommons.org/licenses/by-nc-nd/4.0/
"Philippine Swiftlet","Aerodramus mearnsi",,"Frank Lambert",2010-05-03,?:?,"Negros; Mt. Canlaon",Philippines,10.4,123.1,1750,call,"Previously published on AVoCet as <a href=http://avocet.zoology.msu.edu/recordings/10553>AV10553</a>.  Certainty: slightly less than 100%.  ID determined by: seen; specific identity inferred. GPS: estimate from Google Earth.",,67978,//creativecommons.org/licenses/by-nc-nd/4.0/
"Philippine Swiftlet","Aerodramus mearnsi",,"Frank Lambert",2010-05-03,?:?,"Negros; Mt. Canlaon",Philippines,10.4,123.1,1900,call,"Previously published on AVoCet as <a href=http://avocet.zoology.msu.edu/recordings/10775>AV10775</a>.  Certainty: slightly less than 100%.  ID determined by: not specifically indicated. GPS: estimate from Google Earth.","Brachypteryx montana",67977,//creativecommons.org/licenses/by-nc-nd/4.0/
"Philippine Swiftlet","Aerodramus mearnsi",,"Frank Lambert",2010-05-03,?:?,"Negros; Mt. Canlaon",Philippines,10.4,123.1,1900,call,"Previously published on AVoCet as <a href=http://avocet.zoology.msu.edu/recordings/10776>AV10776</a>.  Certainty: slightly less than 100%.  ID determined by: not specifically indicated. GPS: estimate from Google Earth.",,67976,//creativecommons.org/licenses/by-nc-nd/4.0/
"Germain's Swiftlet","Aerodramus germani",,"Frank Lambert",2010-04-22,?,"Palawan; St. Paul's Park",Philippines,9.97,118.67,1,"flight call","At entrance to cave",,269327,//creativecommons.org/licenses/by-nc-nd/4.0/
"Germain's Swiftlet","Aerodramus germani",,"Frank Lambert",2010-04-20,?:?,"Palawan; St. Paul's Park",Philippines,9.97,118.67,?,call,"Previously published on AVoCet as <a href=http://avocet.zoology.msu.edu/recordings/10565>AV10565</a>.  Certainty: 100%.  ID determined by: not specifically indicated; recordist normally sees birds recorded and indicates if any question; known nesting site. GPS: estimate from Google Earth. including echolocating calls",,67974,//creativecommons.org/licenses/by-nc-nd/4.0/
"Rufous Coucal","Centropus unirufus",,"Frank Lambert",2010-04-11,?,"Subic Bay, Bataan, Central Luzon",Philippines,14.7765,120.3102,160,call,,,270011,//creativecommons.org/licenses/by-nc-nd/4.0/
"Black-faced Coucal","Centropus melanops",,"Frank Lambert",2010-04-18,?,"Mindanao: Bislig; PICOP",Philippines,8.257,126.221,150,song,,,268911,//creativecommons.org/licenses/by-nc-nd/4.0/
"Black-faced Coucal","Centropus melanops",,"Frank Lambert",2010-04-18,?,"Mindanao: Bislig; PICOP",Philippines,8.257,126.221,150,song,,,268912,//creativecommons.org/licenses/by-nc-nd/4.0/
"Black-hooded Coucal","Centropus steerii",,"George Wagner",2010-03-28,06:49,"Siburan Penal Colony, Mindoro Occidenal",Philippines,12.8281,120.9139,250,call,,,53926,//creativecommons.org/licenses/by-nc-nd/2.5/
"Scale-feathered Malkoha","Dasylophus cumingi",,"George Wagner",2010-03-15,11:37,"Mount Makiling, Luzon",Philippines,14.1356,121.1898,500,call,,,53858,//creativecommons.org/licenses/by-nc-nd/2.5/
"Scale-feathered Malkoha","Dasylophus cumingi",,"Frank Lambert",2010-04-09,?,"Mount Makiling, Luzon",Philippines,14.1358,121.19,600,call,,,269969,//creativecommons.org/licenses/by-nc-nd/4.0/
"Asian Koel","Eudynamys scolopaceus",,"Stijn De Win",2010-02-10,10:00,"Subic Bay, Morong, Bataan, Central Luzon",Philippines,14.7655,120.2769,100,song,,,194196,//creativecommons.org/licenses/by-nc-sa/4.0/
"Violet Cuckoo","Chrysococcyx xanthorhynchus",amethystinus,"Frank Lambert",2010-04-18,?,"Mindanao: Bislig; PICOP",Philippines,8.257,126.221,100,"flight call, song","Flight call at the beginning and perched song at the end with a few quiet calls in-between",,268916,//creativecommons.org/licenses/by-nc-nd/4.0/
