"Common name","Scientific name",Subspecies,Recordist,Date,Time,Location,Country,Latitude,Longitude,Elevation,Songtype,Remarks,Back_latin,"Catalogue number",License
"Philippine Frogmouth","Batrachostomus septimus",,"Todd Mark",1997-02-05,20:00,"Mount Kitanglad Range Natural Park (near  Malaybalay City), Bukidnon, Northern Mindanao",Philippines,8.1373,124.9648,1700,song,,,115661,//creativecommons.org/licenses/by-nc-sa/3.0/
"Luzon Bleeding-heart","Gallicolumba luzonica",griseolateralis,"Frank Lambert",1997-05-23,?,"Luzon, Cagayan Province, Isabella, Sierra Madre Mts., Mt. Hamut",Philippines,17.55,121.95,?,song,"lost the original and this is a copy kindly provided to me by Des Allen.",,57578,//creativecommons.org/licenses/by-nc-nd/4.0/
"Yellow-breasted Fruit Dove","Ptilinopus occipitalis",,"Desmond Allen",1997-07-29,?:?,"Picop, Surigao del Sur Province, Mindanao",Philippines,,,?,call,"Bird calling",,79181,//creativecommons.org/licenses/by-nc-nd/2.5/
"Pink-bellied Imperial Pigeon","Ducula poliocephala",,"Desmond Allen",1997-01-08,?:?,"Sibaliw, Aklan Province, Panay",Philippines,,,?,call,"Two calls",,79272,//creativecommons.org/licenses/by-nc-nd/2.5/
"Bukidnon Woodcock","Scolopax bukidnonensis",,"Todd Mark",1997-02-05,19:00,"Mount Kitanglad Range Natural Park (near  Malaybalay City), Bukidnon, Northern Mindanao",Philippines,8.1373,124.9648,1700,song,roding,,114744,//creativecommons.org/licenses/by-nc-sa/3.0/
"Bukidnon Woodcock","Scolopax bukidnonensis",,"Desmond Allen",1997-04-08,?:?,"Mount Kitanglad, Bukidnon Province, Mindanao",Philippines,,,?,call,"flight calls during roding",,79212,//creativecommons.org/licenses/by-nc-nd/2.5/
"Philippine Eagle","Pithecophaga jefferyi",,"Desmond Allen",1997-08-08,?:?,"Mount Kitanglad, Bukidnon Province, Mindanao",Philippines,,,?,call,"Calls of flying bird as it comes nearer",,79210,//creativecommons.org/licenses/by-nc-nd/2.5/
"Mindanao Scops Owl","Otus mirus",,"Desmond Allen",1997-06-08,?:?,"Mount Kitanglad, Bukidnon Province, Mindanao",Philippines,,,?,call,"Bird calling at a distance at night",,79203,//creativecommons.org/licenses/by-nc-nd/2.5/
"Walden's Hornbill","Rhabdotorrhinus waldeni",,"Desmond Allen",1997-01-08,?:?,-,Philippines,-,-,?,call,"Flock of several birds calling",,79268,//creativecommons.org/licenses/by-nc-nd/2.5/
"Philippine Pygmy Woodpecker","Yungipicus maculatus",,"Desmond Allen",1997-01-07,?:?,"Impalutao, Bukidnon Province, Mindanao",Philippines,,,?,call,"ratchet-like alarm calls",,79271,//creativecommons.org/licenses/by-nc-nd/2.5/
"Buff-spotted Flameback","Chrysocolaptes lucidus",rufopunctatus,"Todd Mark",1997-02-11,10:00,"Rajah Sikatuna NP, Bohol",Philippines,9.6982,124.1187,380,call,,,114538,//creativecommons.org/licenses/by-nc-sa/3.0/
"Philippine Falconet","Microhierax erythrogenys",,"Desmond Allen",1997-07-08,?:?,"Mount Kitanglad, Bukidnon Province, Mindanao",Philippines,,,?,call,"last two calls of long sequence",,79209,//creativecommons.org/licenses/by-nc-nd/2.5/
"Blue-headed Racket-tail","Prioniturus platenae",,"Todd Mark",1997-02-16,?,"St. Paul's Subterranean N.P.",Philippines,10.198,118.912,20,call,"natural & seen",,100257,//creativecommons.org/licenses/by-nc-nd/2.5/
"Philippine Hanging Parrot","Loriculus philippensis",,"Desmond Allen",1997-08-08,?:?,"Mount Kitanglad, Bukidnon Province, Mindanao",Philippines,,,?,call,"Perched bird calling from tree",,79207,//creativecommons.org/licenses/by-nc-nd/2.5/
"Whiskered Pitta","Erythropitta kochi",,"Frank Lambert",1997-05-22,?,"Luzon, Cagayan Province, Isabella, Sierra Madre Mts., Mt. Hamut",Philippines,,,"1,400?",song,"lost the original and this is a copy kindly provided to me by Des Allen.",,57577,//creativecommons.org/licenses/by-nc-nd/4.0/
"Philippine Oriole","Oriolus steerii",,"Desmond Allen",1997-07-28,?:?,"Picop, Surigao del Sur Province, Mindanao",Philippines,,,?,call,"bird calling from tree",,79183,//creativecommons.org/licenses/by-nc-nd/2.5/
"Mindanao Blue Fantail","Rhipidura superciliaris",,"Desmond Allen",1997-07-31,?:?,"Picop, Surigao del Sur Province, Mindanao",Philippines,,,?,call,"Bird calling",,79205,//creativecommons.org/licenses/by-nc-nd/2.5/
"Visayan Blue Fantail","Rhipidura samarensis",,"Todd Mark",1997-02-11,09:30,"Rajah Sikatuna NP, Bohol",Philippines,9.6982,124.1187,380,call,,,114540,//creativecommons.org/licenses/by-nc-sa/3.0/
"Black-and-cinnamon Fantail","Rhipidura nigrocinnamomea",,"Todd Mark",1997-02-05,07:30,"Mount Kitanglad Range Natural Park (near  Malaybalay City), Bukidnon, Northern Mindanao",Philippines,8.1373,124.9648,1700,call,,,114743,//creativecommons.org/licenses/by-nc-sa/3.0/
"Philippine Bulbul","Hypsipetes philippinus",,"Todd Mark",1997-02-02,08:30,"Mount Makiling, Luzon",Philippines,14.1358,121.19,1000,"call, song",,,114713,//creativecommons.org/licenses/by-nc-sa/3.0/
