"Common name","Scientific name",Subspecies,Recordist,Date,Time,Location,Country,Latitude,Longitude,Elevation,Songtype,Remarks,Back_latin,"Catalogue number",License
"Visayan Shama","Copsychus superciliaris",,"Yong Ding Li",2012-03-14,15.30,"Mt Kanla-on, Negros",Philippines,10.3959,123.1264,500,call,,,96896,//creativecommons.org/licenses/by-nc-nd/2.5/
"Rusty-breasted Cuckoo","Cacomantis sepulcralis",sepulcralis,"Ding Li Yong",2012-03-15,09:00,"Mount Kanlaon, Negros",Philippines,10.4092,123.132,2300,song,,,200894,//creativecommons.org/licenses/by-nc-nd/4.0/
"Philippine Hawk-Cuckoo","Hierococcyx pectoralis",,"Matt Brady",2012-03-24,09:00,"Mt Apo, above Kidapawan City, Cotabato, Region XII",Philippines,7.0183,125.2308,1300,song,"This bird was calling from the mid-story, down a steep slope in mid-elevation forest on the west side of Mt Apo, Mindanao. I was unsure what the bird was when I recorded it, but Desmond Allen identified it from the recording. See <http://ebird.org/ebird/view/checklist/S10347684> for further details and a complete species list for the location.",,253362,//creativecommons.org/licenses/by-nc-sa/4.0/
"White-eared Brown Dove","Phapitreron leucotis",nigrorum,"Ding Li Yong",2012-03-14,08:30,"Mount Kanlaon, Negros",Philippines,10.4092,123.132,2300,song,,"Cacomantis sepulcralis",179401,//creativecommons.org/licenses/by-nc-nd/4.0/
"Sulu Hawk-Owl","Ninox reyi",,"Bram Demeulemeester",2012-01-16,?,"Bongao, Tawi-Tawi, Autonomous Region in Muslim Mindanao",Philippines,5.067,119.7892,20,song,"Previously uploaded on Project Avocet website as AV15768",,410748,//creativecommons.org/licenses/by-nc-sa/4.0/
"Sulu Hawk-Owl","Ninox reyi",,"Bram Demeulemeester",2012-01-15,?,"Bongao, Tawi-Tawi, Autonomous Region in Muslim Mindanao",Philippines,5.067,119.7892,20,song,"Previously uploaded on Project Avocet website as AV15769",,410747,//creativecommons.org/licenses/by-nc-sa/4.0/
"Spotted Wood Kingfisher","Actenoides lindsayi",moseleyi,"Ding Li Yong",2012-03-15,08:00,"Mambukal, Murcia, Negros Occidental, Western Visayas",Philippines,10.5109,123.1061,400,subsong,,,823376,//creativecommons.org/licenses/by-nc-nd/4.0/
"Spotted Wood Kingfisher","Actenoides lindsayi",moseleyi,"Ding Li Yong",2012-03-15,07:30,"Mambukal, Murcia, Negros Occidental, Western Visayas",Philippines,10.5109,123.1061,400,call,,,612572,//creativecommons.org/licenses/by-nc-nd/4.0/
"Spotted Wood Kingfisher","Actenoides lindsayi",moseleyi,"Yong Ding Li",2012-03-15,7.30,"Mount Kanlaon, Negros",Philippines,10.4092,123.132,300,song,,,96935,//creativecommons.org/licenses/by-nc-nd/2.5/
"Philippine Pitta","Erythropitta erythrogaster",erythrogaster,"Yong Ding Li",2012-03-16,8.30,"Quezon City, Metro Manila",Philippines,14.7123,121.0744,70,song,,,96898,//creativecommons.org/licenses/by-nc-nd/2.5/
"White-vented Whistler","Pachycephala homeyeri",winchelli,"Ding Li Yong",2012-03-14,09:00,"Mt Kanla-on, Negros",Philippines,10.3959,123.1264,1600,song,,,612563,//creativecommons.org/licenses/by-nc-nd/4.0/
"White-vented Whistler","Pachycephala homeyeri",winchelli,"Ding Li Yong",2012-03-14,08:00,"Mt Kanla-on, Negros",Philippines,10.3959,123.1264,1600,song,,,612561,//creativecommons.org/licenses/by-nc-nd/4.0/
Balicassiao,"Dicrurus balicassius",mirabilis,"Ding Li Yong",2012-04-14,08:00,"Mount Kanlaon, Negros",Philippines,10.4092,123.132,2300,song,,,697535,//creativecommons.org/licenses/by-nc-nd/4.0/
Balicassiao,"Dicrurus balicassius",mirabilis,"Ding Li Yong",2012-03-14,09:30,"Mount Kanlaon, Negros",Philippines,10.4092,123.132,1200,call,,,201896,//creativecommons.org/licenses/by-nc-nd/4.0/
"Visayan Fantail","Rhipidura albiventris",,"Ding Li Yong",2012-03-14,10:00,"Mount Kanlaon, Negros",Philippines,10.4092,123.132,2300,call,,"Cacomantis sepulcralis",179546,//creativecommons.org/licenses/by-nc-nd/4.0/
"Philippine Pied Fantail","Rhipidura nigritorquis",,"Ding Li Yong",2012-03-14,09:30,"Bacolod, Negros Occidental, Western Visayas",Philippines,10.6706,123.0249,100,song,"Note waterfall in the background. ","Hypsipetes guimarasensis",200892,//creativecommons.org/licenses/by-nc-nd/4.0/
"Visayan Bulbul","Hypsipetes guimarasensis",,"Ding Li Yong",2012-03-14,05:30,"Mt Kanla-on, Negros",Philippines,10.3959,123.1264,1600,song,,,185277,//creativecommons.org/licenses/by-nc-nd/4.0/
"Philippine Tailorbird","Orthotomus castaneiceps",rabori,"Ding Li Yong",2012-03-13,16:00,"Mambukal, Murcia, Negros Occidental, Western Visayas",Philippines,10.5109,123.1061,400,song,,,179399,//creativecommons.org/licenses/by-nc-nd/4.0/
"Flame-templed Babbler","Dasycrotapha speciosa",,"Ding Li Yong",2012-03-14,10:30,"Mt Kanla-on, Negros",Philippines,10.3959,123.1264,1600,song,,"Hypsipetes guimarasensis",612559,//creativecommons.org/licenses/by-nc-nd/4.0/
"Flame-templed Babbler","Dasycrotapha speciosa",,"Ding Li Yong",2012-03-14,10:30,"Mount Kanlaon, Negros",Philippines,10.4092,123.132,2300,song,,,567712,//creativecommons.org/licenses/by-nc-nd/4.0/
"Flame-templed Babbler","Dasycrotapha speciosa",,"Yong Ding Li",2012-03-14,7.00,"Mount Kanlaon, Negros",Philippines,10.4092,123.132,700,song,,,97208,//creativecommons.org/licenses/by-nc-nd/2.5/
"Lowland White-eye","Zosterops meyeni",meyeni,"Yong Ding Li",2012-03-16,9.00,"Quezon City, Metro Manila",Philippines,14.7123,121.0744,70,song,,"Todiramphus chloris",97716,//creativecommons.org/licenses/by-nc-nd/2.5/
"Everett's White-eye","Zosterops everetti",boholensis,"Stijn De Win",2012-06-15,06:00,"Lake Danao, Leyte, Eastern Visayas",Philippines,11.075,124.691,700,song,,,181789,//creativecommons.org/licenses/by-nc-sa/4.0/
"Brown Tit-Babbler","Macronus striaticeps",mindanensis,"Stijn De Win / Birding2asia.com",2012-06-15,07:00,"Lake Danao, Leyte, Eastern Visayas",Philippines,11.075,124.691,700,"call, song, chatter","Common in the forest around Lake Danao, an easy accessible birding site near Ormoc city. Please note that this was the very first recording from the island of Leyte being uploaded to Xeno-canto.",,181754,//creativecommons.org/licenses/by-nc-sa/4.0/
"Sulphur-billed Nuthatch","Sitta oenochlamys",,"Ding Li Yong",2012-03-14,14:30,"Mount Kanlaon, Negros",Philippines,10.4092,123.132,2300,"call, song",,"Hypsipetes guimarasensis",179400,//creativecommons.org/licenses/by-nc-nd/4.0/
Coleto,"Sarcops calvus",melanonotus,"Ding Li Yong",2012-03-14,09:30,"Mount Kanlaon, Negros",Philippines,10.4092,123.132,2300,call,,,669027,//creativecommons.org/licenses/by-nc-nd/4.0/
Coleto,"Sarcops calvus",melanonotus,"Ding Li Yong",2012-03-14,09:30,"Mount Kanlaon, Negros",Philippines,10.4092,123.132,2300,call,,,669026,//creativecommons.org/licenses/by-nc-nd/4.0/
Coleto,"Sarcops calvus",melanonotus,"Stijn De Win / Birding2asia.com",2012-06-15,08:00,"Lake Danao, Leyte, Eastern Visayas",Philippines,11.075,124.691,700,call,,,181755,//creativecommons.org/licenses/by-nc-sa/4.0/
Coleto,"Sarcops calvus",melanonotus,"Yong Ding Li",2012-03-14,09:30,"Mount Kanlaon, Negros",Philippines,10.4094,123.132,2300,"song, wing flapping",,,121709,//creativecommons.org/licenses/by-nc-nd/3.0/
Coleto,"Sarcops calvus",melanonotus,"Ding Li Yong",2012-03-14,09:30,"Mount Kanlaon, Negros",Philippines,10.4092,123.132,2300,call,,"Rhipidura albiventris,Dicrurus balicassius",612405,//creativecommons.org/licenses/by-nc-nd/4.0/
