"Common name","Scientific name",Subspecies,Recordist,Date,Time,Location,Country,Latitude,Longitude,Elevation,Songtype,Remarks,Back_latin,"Catalogue number",License
"Little Bronze Cuckoo","Chrysococcyx minutillus",,"Desmond Allen",1998-00-01,?:?,"Tawi-Tawi, Sulu Archipelago",Philippines,5.149,120,?,call,"Bird calling from tree",,79145,//creativecommons.org/licenses/by-nc-nd/2.5/
"Philippine Drongo-Cuckoo","Surniculus velutinus",suluensis,"Desmond Allen",1998-00-01,?:?,"Tawi-Tawi, Sulu Archipelago",Philippines,5.149,120,?,call,"Bird calling. Often split as Phillippine Drongo-cuckoo",,79167,//creativecommons.org/licenses/by-nc-nd/2.5/
"Indian Cuckoo","Cuculus micropterus",,"Duncan Wilson",1998-03-13,?,"PICOP, Bislig, Mindanao ",Philippines,8.2589,126.1537,50,song,"Interesting 3-note song",,38429,//creativecommons.org/licenses/by-nc-nd/2.5/
"Luzon Hawk-Owl","Ninox philippensis",centralis,"Niels Poul Dreyer",1998-02-25,18:30,"Rajah Sikatuna NP, Bohol",Philippines,9.6982,124.1187,380,"call, song",,,270670,//creativecommons.org/licenses/by-nc-sa/4.0/
"Winchell's Kingfisher","Todiramphus winchelli",mindanensis,"Niels Poul Dreyer",1998-03-04,08:30,"Mindanao: Bislig; PICOP",Philippines,8.257,126.221,150,"call, song",,,271023,//creativecommons.org/licenses/by-nc-sa/4.0/
"Philippine Pygmy Woodpecker","Yungipicus maculatus",validirostris,"Niels Poul Dreyer",1998-03-07,09:00,"Mount Makiling, Luzon",Philippines,14.1358,121.19,1000,"call, song",,,270901,//creativecommons.org/licenses/by-nc-sa/4.0/
"Philippine Pitta","Erythropitta erythrogaster",,"Desmond Allen",1998-01-03,?:?,"Tawi-Tawi, Sulu Archipelago",Philippines,5.149,120,2,song,"bird calling from near forest floor of degraded forest just onshore from Balimbing. Disturbing background noise from outboard motors","Todiramphus winchelli,Eudynamys scolopaceus",79295,//creativecommons.org/licenses/by-nc-nd/2.5/
"Azure-breasted Pitta","Pitta steerii",steerii,"Duncan Wilson",1998-03-14,?,"PICOP, Bislig, Mindanao ",Philippines,8.2589,126.1537,50,song,,,38507,//creativecommons.org/licenses/by-nc-nd/2.5/
"Yellow-bellied Whistler","Pachycephala philippinensis",boholensis,"Niels Poul Dreyer",1998-02-25,08:00,"Rajah Sikatuna NP, Bohol",Philippines,9.6982,124.1187,380,"call, song",,,270761,//creativecommons.org/licenses/by-nc-sa/4.0/
"Short-crested Monarch","Hypothymis helenae",agusanae,"Duncan Wilson",1998-03-14,?,"PICOP, Bislig, Mindanao ",Philippines,8.2589,126.1537,50,call,"Sharp 2 note 'Chiz dik'",,38508,//creativecommons.org/licenses/by-nc-nd/2.5/
"Yellow-wattled Bulbul","Poliolophus urostictus",philippensis,"Duncan Wilson",1998-03-14,?,"PICOP, Bislig, Mindanao ",Philippines,8.2589,126.1537,50,song,,,38511,//creativecommons.org/licenses/by-nc-nd/2.5/
"Rufous-headed Tailorbird","Phyllergates heterolaemus",,"Niels Poul Dreyer",1998-03-04,09:30,"Mount Kitanglad Range Natural Park (near  Malaybalay City), Bukidnon, Northern Mindanao",Philippines,8.1373,124.9648,1700,"call, song",,,270587,//creativecommons.org/licenses/by-nc-sa/4.0/
"Philippine Leaf Warbler","Phylloscopus olivaceus",,"Desmond Allen",1998-01-01,?:?,"Tarawakan, Tawi-Tawi, Sulu Archipelago",Philippines,,,?,call,"bird singing overhead",,79273,//creativecommons.org/licenses/by-nc-nd/2.5/
"Black-headed Tailorbird","Orthotomus nigriceps",,"Niels Poul Dreyer",1998-03-07,09:00,"Mindanao: Bislig; PICOP",Philippines,8.257,126.221,150,"call, song",,,270961,//creativecommons.org/licenses/by-nc-sa/4.0/
"Striated Wren-Babbler","Ptilocichla mindanensis",mindanensis,"Duncan Wilson",1998-03-14,?,"PICOP, Bislig, Mindanao ",Philippines,8.2589,126.1537,50,call,,,38509,//creativecommons.org/licenses/by-nc-nd/2.5/
"Chestnut-capped Thrush","Geokichla interpres",,"Desmond Allen",1998-01-03,?:?,-,Philippines,-,-,?,song,"bird singing from lower storey",,79313,//creativecommons.org/licenses/by-nc-nd/2.5/
"Lina's Sunbird","Aethopyga linaraborae",,"Duncan Wilson",1998-03-12,11:00,"Mount Pasian, Bislig, East Mindanao",Philippines,,,1000,song,,,38433,//creativecommons.org/licenses/by-nc-nd/2.5/
