"Common name","Scientific name",Subspecies,Recordist,Date,Time,Location,Country,Latitude,Longitude,Elevation,Songtype,Remarks,Back_latin,"Catalogue number",License
"Philippine Collared Dove","Streptopelia dusumieri",,"Desmond Allen",2008-01-05,?:?,"Malasi Lake, Cabagan, Isabela Province, Luzon",Philippines,,,?,call,"bird calling from tree",,79296,//creativecommons.org/licenses/by-nc-nd/2.5/
"Amethyst Brown Dove","Phapitreron amethystinus",,"Desmond Allen",2008-09-02,?:?,"Polillo, Polillo Island, Quezon Province, Luzon",Philippines,,,?,call,"Normal cooing call from bird on branch",,79179,//creativecommons.org/licenses/by-nc-nd/2.5/
"Amethyst Brown Dove","Phapitreron amethystinus",,"Desmond Allen",2008-09-02,?:?,"Polillo, Polillo Island, Quezon Province, Luzon",Philippines,,,?,song,"Engine-like growling purr from same bird on branch",,79178,//creativecommons.org/licenses/by-nc-nd/2.5/
"Grey-faced Buzzard","Butastur indicus",,"Desmond Allen",2008-00-14,?:?,"Subic Bay, Luzon",Philippines,14.808077,120.237808,?,call,"Flying bird calling",,79160,//creativecommons.org/licenses/by-nc-nd/2.5/
"Palawan Scops Owl","Otus fuliginosus",,"William Ruscher",2008-01-31,1:00,"Puerto Princesa Subterranean NP,  Sabang, Palawan",Philippines,10.1931,118.9084,149,"call, 'snore' call at  4-5 second intervals","recorded at forest edge, with Sennheisser MKE-300 mic and Edirol R-09 recorder",,31799,//creativecommons.org/licenses/by-nc-nd/2.5/
"Indigo-banded Kingfisher","Ceyx cyanopectus",,"Desmond Allen",2008-00-01,?:?,"Polillo, Polillo Island, Quezon Province, Luzon",Philippines,,,?,song,"calls of bird held in hand, unfortunately clipped",,79202,//creativecommons.org/licenses/by-nc-nd/2.5/
"Pacific Swallow","Hirundo tahitica",,"Desmond Allen",2008-02-18,?:?,"Peñablanca, Cagayan Province, Luzon",Philippines,,,?,call,"Birds calling roosting on river shingle and flying around",,79201,//creativecommons.org/licenses/by-nc-nd/2.5/
"Striated Swallow","Cecropis striolata",,"Desmond Allen",2008-00-18,?:?,"Peñablanca, Cagayan Province, Luzon",Philippines,,,?,call,"Flight calls of small flock skimming over river",,79200,//creativecommons.org/licenses/by-nc-nd/2.5/
"White-vented Shama","Copsychus niger",,"William Ruscher",2008-02-03,08:00,"Puerto Princesa Subterranean NP,  Sabang, Palawan",Philippines,10.1931,118.9084,134,"call, song, song and ( possible alarm) call","recorded with Sennheisser MKE-300 mic and Edirol R-09 recorder. The sound of the tide coming in (from the South China Sea) can also be heard in the background.       ",,23899,//creativecommons.org/licenses/by-nc-nd/2.5/
"Yellow-throated Leafbird","Chloropsis palawanensis",,"William Ruscher",2008-02-03,08:45,"Puerto Princesa Subterranean NP,  Sabang, Palawan",Philippines,10.1931,118.9084,138,song,"recorded with Sennheisser MKE-300 mic and Edirol R-09 recorder. The background noise is a cicada species from a distance back, in the forest.  ",,23900,//creativecommons.org/licenses/by-nc-nd/2.5/
"Striped Flowerpecker","Dicaeum aeruginosum",,"Desmond Allen",2008-02-16,?:?,"Penablanca, Luzon",Philippines,,,?,song,,,81138,//creativecommons.org/licenses/by-nc-nd/2.5/
"Yellow-crowned Flowerpecker","Dicaeum anthonyi",,"Desmond Allen",2008-00-01,?:?,"Awan-Igid trail, Mountain Province, Luzon",Philippines,,,?,call,"Bird calling",,79141,//creativecommons.org/licenses/by-nc-nd/2.5/
"Luzon Sunbird","Aethopyga jefferyi",,"Desmond Allen",2008-02-01,?:?,"Awan-Igid trail, Mountain Province, Luzon",Philippines,,,?,call,"Male calling from flowering shrub just above trail",,79221,//creativecommons.org/licenses/by-nc-nd/2.5/
