"Common name","Scientific name",Subspecies,Recordist,Date,Time,Location,Country,Latitude,Longitude,Elevation,Songtype,Remarks,Back_latin,"Catalogue number",License
"Palawan Crow","Corvus pusillus",,"Frank Lambert",1991-00-00,?:?,Palawan,Philippines,9.384032,118.300781,?,call,Frog-like,,30747,//creativecommons.org/licenses/by-nc-nd/4.0/
"Palawan Peacock-Pheasant","Polyplectron napoleonis",,"Frank Lambert",1991-00-00,?:?,Palawan,Philippines,9.384032,118.300781,?,call,,,30724,//creativecommons.org/licenses/by-nc-nd/4.0/
"Palawan Peacock-Pheasant","Polyplectron napoleonis",,"Frank Lambert",1991-00-00,?:?,Palawan,Philippines,9.384032,118.300781,?,call,,,30723,//creativecommons.org/licenses/by-nc-nd/4.0/
"Plaintive Cuckoo","Cacomantis merulinus",,"Frank Lambert",1991-00-00,?:?,Palawan,Philippines,9.384032,118.300781,?,song,,,30695,//creativecommons.org/licenses/by-nc-nd/4.0/
"Sulu Hornbill","Anthracoceros montani",,"Frank Lambert",1991-00-00,?:?,"Tawi-Tawi, Sulu Islands",Philippines,5.149,120,?,call,,,30755,//creativecommons.org/licenses/by-nc-nd/4.0/
"Spotted Wood Kingfisher","Actenoides lindsayi",,"Frank Lambert",1991-00-00,?:?,"Mount Makiling, Luzon",Philippines,14.13583,121.19,?,song,,,30750,//creativecommons.org/licenses/by-nc-nd/4.0/
"Spotted Wood Kingfisher","Actenoides lindsayi",,"Frank Lambert",1991-00-00,?:?,"Mount Makiling, Luzon",Philippines,14.13583,121.19,?,song,,,30749,//creativecommons.org/licenses/by-nc-nd/4.0/
"Red-vented Cockatoo","Cacatua haematuropygia",,"Frank Lambert",1991-00-00,?:?,-,Philippines,-,-,?,call,"harsh calls",,30729,//creativecommons.org/licenses/by-nc-nd/4.0/
"Hooded Pitta","Pitta sordida",palawanensis,"Frank Lambert",1991-00-00,?:?,Palawan,Philippines,9.384032,118.300781,?,song,,,30707,//creativecommons.org/licenses/by-nc-nd/4.0/
"Grey-backed Tailorbird","Orthotomus derbianus",,"Frank Lambert",1991-00-00,?:?,"Mount Makiling, Luzon",Philippines,14.13583,121.19,?,song,,,30705,//creativecommons.org/licenses/by-nc-nd/4.0/
"Brown Tit-Babbler","Macronus striaticeps",,"Frank Lambert",1991-00-00,?:?,"Tawi-Tawi, Sulu Islands",Philippines,5.149,120,?,song,,,30694,//creativecommons.org/licenses/by-nc-nd/4.0/
"Falcated Wren-Babbler","Ptilocichla falcata",,"Frank Lambert",1991-00-00,?:?,Palawan,Philippines,9.384032,118.300781,?,song,,,30702,//creativecommons.org/licenses/by-nc-nd/4.0/
"Falcated Wren-Babbler","Ptilocichla falcata",,"Frank Lambert",1991-00-00,?:?,Palawan,Philippines,9.384032,118.300781,?,song,,,30701,//creativecommons.org/licenses/by-nc-nd/4.0/
"Black Shama","Copsychus cebuensis",,"Frank Lambert",1991-00-00,?:?,Cebu,Philippines,,,?,song,,,30697,//creativecommons.org/licenses/by-nc-nd/4.0/
"Palawan Blue Flycatcher","Cyornis lemprieri",,"Frank Lambert",1991-00-00,?:?,Palawan,Philippines,9.384032,118.300781,?,song,,,30720,//creativecommons.org/licenses/by-nc-nd/4.0/
"Palawan Flycatcher","Ficedula platenae",,"Frank Lambert",1991-00-00,?:?,Palawan,Philippines,9.384032,118.300781,?,song,,,30722,//creativecommons.org/licenses/by-nc-nd/4.0/
"Palawan Flycatcher","Ficedula platenae",,"Frank Lambert",1991-00-00,?:?,Palawan,Philippines,9.384032,118.300781,?,song,,,30721,//creativecommons.org/licenses/by-nc-nd/4.0/
