"Common name","Scientific name",Subspecies,Recordist,Date,Time,Location,Country,Latitude,Longitude,Elevation,Songtype,Remarks,Back_latin,"Catalogue number",License
"Great Eared Nightjar","Lyncornis macrotis",,"David Marques",2013-02-27,20:38,"Subic Bay, Morong, Bataan, Central Luzon",Philippines,14.7655,120.2769,100,song,,,130887,//creativecommons.org/licenses/by-nc-sa/3.0/
"Oriental Pratincole","Glareola maldivarum",,"Stijn De Win",2013-06-15,08:00,"Naval, Biliran, Eastern Visayas",Philippines,11.527,124.4518,160,call,,,189215,//creativecommons.org/licenses/by-nc-sa/4.0/
"Philippine Serpent Eagle","Spilornis holospilus",,"David Marques",2013-02-28,10:30,"Subic Bay, Bataan, Central Luzon",Philippines,14.7765,120.3102,160,call,"2 birds calling",,130909,//creativecommons.org/licenses/by-nc-sa/3.0/
"Luzon Hawk-Owl","Ninox philippensis",,"David Marques",2013-02-27,20:38,"Subic Bay, Morong, Bataan, Central Luzon",Philippines,14.7655,120.2769,100,"song, pair-song?",,,130889,//creativecommons.org/licenses/by-nc-sa/3.0/
"Luzon Hawk-Owl","Ninox philippensis",,"David Marques",2013-02-27,20:38,"Subic Bay, Morong, Bataan, Central Luzon",Philippines,14.7655,120.2769,100,"song, pair-song?",,,130888,//creativecommons.org/licenses/by-nc-sa/3.0/
"Luzon Flameback","Chrysocolaptes haematribon",,"David Marques",2013-02-28,18:00,"Subic Bay, Bataan, Central Luzon",Philippines,14.7765,120.3102,160,call,,,130913,//creativecommons.org/licenses/by-nc-sa/3.0/
"Hooded Pitta","Pitta sordida","ss sordida","Brendan Sloan",2013-03-12,09:30,"Cantabon Siquijor",Philippines,,,"200 masl approx",call,,,320569,//creativecommons.org/licenses/by-nc-sa/4.0/
"Brown Shrike","Lanius cristatus",,"Romeo B. Galang, Jr",2013-12-30,12:28,"Balintawak, Quezon City, Metro Manila",Philippines,14.6523,120.9972,30,call,"The bird is perched among the bougainvillea vines, about 8 feet from the ground.",,161637,//creativecommons.org/licenses/by-nc-sa/3.0/
"Brown Shrike","Lanius cristatus",lucionensis,"Washington Sycip",2013-08-02,07:00,"Manila, Makati, Metro Manila",Philippines,14.5537,121.0179,10,"alarm call, call","You can see more photos of brown shrikes here - http://birdsofmakati.blogspot.com/",,149565,//creativecommons.org/licenses/by-nc-sa/3.0/
"Isabela Oriole","Oriolus isabellae",,"Brendan Sloan",2013-03-02,07:30,-,Philippines,-,-,"250 masl approx",call,"Ascending call and trik call",,342214,//creativecommons.org/licenses/by-nc-sa/4.0/
"Isabela Oriole","Oriolus isabellae",,"Brendan Sloan",2013-03-02,08:00,-,Philippines,-,-,"250 masl approx",call,,,342216,//creativecommons.org/licenses/by-nc-sa/4.0/
Balicassiao,"Dicrurus balicassius",,"David Marques",2013-02-28,08:00,"Morong, Bataan, Central Luzon",Philippines,14.7744,120.2964,50,call,,,130890,//creativecommons.org/licenses/by-nc-sa/3.0/
"Yellow-wattled Bulbul","Poliolophus urostictus",ilokensis,"Brendan Sloan",2013-03-02,08:00,"Cagayan Province North Luzon",Philippines,,,"250 masl approx",song,,,342547,//creativecommons.org/licenses/by-nc-sa/4.0/
"Yellow-vented Bulbul","Pycnonotus goiavier",,"Romeo B. Galang, Jr",2013-12-31,07:03,"La Loma Catholic Cemetery, Caloocan City, Metro Manila",Philippines,14.6426,120.988,20,call,"A feeding flock of Pycnonotus goiavier amongst a tall Eucalyptus deglupta (?). The flock is augmented by birds coming from a nearby tree as others leave the feeding tree. Song of Rhipidura nigrotorquis and Geopelia striata can also be heard.","Geopelia striata,Rhipidura nigritorquis",161885,//creativecommons.org/licenses/by-nc-sa/3.0/
"Yellow-vented Bulbul","Pycnonotus goiavier",,"Romeo B. Galang, Jr",2013-12-29,06:00,"Balintawak, Quezon City, Metro Manila",Philippines,14.6523,120.9972,30,song,"This was recorded at 6:04 am. The bird sings everyday from the crown of the tree ( it is approximately the height of the roof of a two story house. The tree is in the middle of 3 houses, a few meters from the front yard with 5 mature trees.",,161631,//creativecommons.org/licenses/by-nc-sa/3.0/
