"Common name","Scientific name",Subspecies,Recordist,Date,Time,Location,Country,Latitude,Longitude,Elevation,Songtype,Remarks,Back_latin,"Catalogue number",License
"Palawan Crow","Corvus pusillus",,"Oscar Campbell",2014-07-24,10:00,"Near Sabang, Palawan",Philippines,10.1955,118.9184,50,call,"Bird in tree calling, with other nearby.",,190305,//creativecommons.org/licenses/by-nc-sa/4.0/
"Palawan Fairy-bluebird","Irena tweeddalii",,"Oscar Campbell",2014-07-24,09:00,-,Philippines,-,-,50,song,"Male feeding in fruiting tree overhead and calling whilst feeding.",,190304,//creativecommons.org/licenses/by-nc-sa/4.0/
"Visayan Shama","Copsychus superciliaris",,"Stijn De Win / Birding2asia.com",2014-05-24,06:30,"Siaton, Negros Oriental, Central Visayas",Philippines,9.1062,122.9877,320,song,,,179936,//creativecommons.org/licenses/by-nc-sa/4.0/
"Visayan Shama","Copsychus superciliaris",,"Stijn De Win / Birding2asia.com",2014-05-24,06:30,"Siaton, Negros Oriental, Central Visayas",Philippines,9.1062,122.9877,340,song,,,179939,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red Junglefowl","Gallus gallus",,"Cedric Mroczko",2014-02-04,11:00,"Subic Bay Freeport Zone, Bataan, Central Luzon",Philippines,14.7821,120.302,160,"call, song","Call at 0:08
Zoom H2n (LoCut, 24/96)
Audacity (Highpass filter set at 500Hz/6dB ; amplification with peak at -6dB)","Centropus viridis",204814,//creativecommons.org/licenses/by-nc-sa/4.0/
"Philippine Nightjar","Caprimulgus manillensis",,"Stijn De Win / Birding2asia.com",2014-04-11,18:30,"Twin Lakes, Negros Oriental, Central Visayas",Philippines,9.3607,123.1788,900,song,,,175097,//creativecommons.org/licenses/by-nc-sa/4.0/
"Black-faced Coucal","Centropus melanops",,"Ding Li Yong",2014-03-03,08:30,"Mount Apo, Davao City, Davao del Sur, Davao Region",Philippines,7.0813,125.3078,1500,call,,"Phylloscopus olivaceus,Dicaeum trigonostigma,Pachycephala philippinensis",654845,//creativecommons.org/licenses/by-nc-nd/4.0/
"Philippine Coucal","Centropus viridis",viridis,"Stijn De Win / Birding2asia.com",2014-05-15,07:00,"Twin Lakes, Negros Oriental, Central Visayas",Philippines,9.3607,123.1788,900,song,,,181745,//creativecommons.org/licenses/by-nc-sa/4.0/
"Philippine Coucal","Centropus viridis",viridis,"Stijn De Win / Birding2asia.com",2014-05-26,09:30,"Danjugan Island, Negros Occidental, Western Visayas",Philippines,9.8797,122.3745,10,song,,,181243,//creativecommons.org/licenses/by-nc-sa/4.0/
"Philippine Coucal","Centropus viridis",viridis,"Stijn De Win / Birding2asia.com",2014-05-04,07:00,"Casaroro falls, Valencia, Negros  Oriental",Philippines,9.2812,123.2076,600,call,,,177907,//creativecommons.org/licenses/by-nc-sa/4.0/
"Philippine Coucal","Centropus viridis",viridis,"Cedric MROCZKO",2014-02-03,07:00,"Subic Bay Freeport Zone, Bataan, Central Luzon",Philippines,14.7821,120.302,160,call,"Zoom H2n (LoCut, 24/96)
Audacity (Highpass filter set at 500Hz/6dB ; amplification with peak at -6dB)",,204582,//creativecommons.org/licenses/by-nc-sa/4.0/
"Philippine Coucal","Centropus viridis",viridis,"Tomas Carlberg",2014-03-20,08:00,"Tabunan, Cebu",Philippines,10.4321,123.8084,500,call,,,175152,//creativecommons.org/licenses/by-nc-sa/4.0/
"Scale-feathered Malkoha","Dasylophus cumingi",,"Oscar Campbell",2014-07-11,13:30,"Mts. Banahaw-San Cristobal Protected Landscape (near  Liliw), Laguna, Calabarzon",Philippines,14.0719,121.4545,900,call,"Bird calling from forest edge by trail.",,190215,//creativecommons.org/licenses/by-nc-sa/4.0/
"Scale-feathered Malkoha","Dasylophus cumingi",,"Tomas Carlberg",2014-03-16,14:30,"Angono, Rizal, Calabarzon",Philippines,14.5333,121.15,10,call,"Heard only, en route to Angono at a place called ""Falcon Crest"", in forest along road.",,174887,//creativecommons.org/licenses/by-nc-sa/4.0/
"Asian Koel","Eudynamys scolopaceus",,"Oscar Campbell",2014-07-25,06:00,"Puerto Princesa, Palawan, MIMAROPA",Philippines,9.6446,118.728,"100 (estimated)",song,"Male in tree by roadside - right overhead. Calling, then flew",,190308,//creativecommons.org/licenses/by-nc-sa/4.0/
"Asian Koel","Eudynamys scolopaceus",,"Tomas Carlberg",2014-03-27,07:00,PICOP,Philippines,8.2589,126.1537,150,call,,,175484,//creativecommons.org/licenses/by-nc-sa/4.0/
"Rusty-breasted Cuckoo","Cacomantis sepulcralis",,"Tomas Carlberg",2014-03-20,14:55,"Tabunan, Cebu",Philippines,10.4321,123.8084,500,song,,,178293,//creativecommons.org/licenses/by-nc-sa/4.0/
"Rusty-breasted Cuckoo","Cacomantis sepulcralis",sepulcralis,"Ding Li Yong",2014-03-04,09:00,"Mount Apo, Davao City, Davao del Sur, Davao Region",Philippines,7.0813,125.3078,1500,song,,,936617,//creativecommons.org/licenses/by-nc-nd/4.0/
"Rusty-breasted Cuckoo","Cacomantis sepulcralis",sepulcralis,"Stijn De Win / Birding2asia.com",2014-04-20,09:00,"Negros; Mt. Talinas area, near Valencia",Philippines,9.26,123.19,1200,"call, song",,,176122,//creativecommons.org/licenses/by-nc-sa/4.0/
"Square-tailed Drongo-Cuckoo","Surniculus lugubris",,"Oscar Campbell",2014-07-23,17:00,"Near Sabang, Palawan",Philippines,10.1955,118.9184,90,song,"Heard and flew in to tape, to call from exposed perched right overhead.",,190303,//creativecommons.org/licenses/by-nc-sa/4.0/
"Philippine Hawk-Cuckoo","Hierococcyx pectoralis",,"Ding Li Yong",2014-03-02,07:30,"Tabunan, Cebu",Philippines,10.4321,123.8084,500,song,,,654834,//creativecommons.org/licenses/by-nc-nd/4.0/
"Philippine Hawk-Cuckoo","Hierococcyx pectoralis",,"Tomas Carlberg",2014-03-17,13:00,"Bilar, Bohol, Central Visayas",Philippines,9.7157,124.113,280,song,"In the hotel garden at Butterfly Garden.",,174886,//creativecommons.org/licenses/by-nc-sa/4.0/
"Philippine Hawk-Cuckoo","Hierococcyx pectoralis",,"Ding Li Yong",2014-03-02,08:00,"Tabunan, Cebu",Philippines,10.4321,123.8084,500,song,,"Rhipidura nigritorquis",169049,//creativecommons.org/licenses/by-nc-nd/3.0/
"Philippine Cuckoo-Dove","Macropygia tenuirostris",,"Ding Li Yong",2014-03-04,11:00,"Mount Apo, Davao City, Davao del Sur, Davao Region",Philippines,7.0813,125.3078,1500,song,,,169052,//creativecommons.org/licenses/by-nc-nd/3.0/
"Zebra Dove","Geopelia striata",,"Romeo B. Galang, Jr",2014-01-14,00:00,"Clark, Mabalacat City, Pampanga, Central Luzon",Philippines,15.1951,120.5118,200,song,"A bird is calling from an electric wire at the wooded part of a resort-type habitation.","Pycnonotus goiavier",164827,//creativecommons.org/licenses/by-nc-sa/3.0/
"White-eared Brown Dove","Phapitreron leucotis",brevirostris,"Tomas Carlberg",2014-03-18,?,"Rajah Sikatuna NP, Bohol",Philippines,9.6982,124.1187,380,song,,,175083,//creativecommons.org/licenses/by-nc-sa/4.0/
"Amethyst Brown Dove","Phapitreron amethystinus",amethystinus,"Tomas Carlberg",2014-03-18,08:40,"Rajah Sikatuna NP, Bohol",Philippines,9.6982,124.1187,380,call,,,175047,//creativecommons.org/licenses/by-nc-sa/4.0/
