"Common name","Scientific name",Subspecies,Recordist,Date,Time,Location,Country,Latitude,Longitude,Elevation,Songtype,Remarks,Back_latin,"Catalogue number",License
"Sulu Jungle Flycatcher","Cyornis ocularis",,"Desmond Allen",1996-05-00,?:?,"Tarawakan, Tawi-Tawi, Autonomous Region in Muslim Mindanao",Philippines,5.1353,119.8622,20,song,,,81129,//creativecommons.org/licenses/by-nc-nd/2.5/
"Philippine Nightjar","Caprimulgus manillensis",,"Desmond Allen",1996-01-05,?:?,"Tarawakan, Tawi-Tawi, Sulu Archipelago",Philippines,,,?,call,"Bird calling at dusk",,79217,//creativecommons.org/licenses/by-nc-nd/2.5/
"Pink-bellied Imperial Pigeon","Ducula poliocephala",,"Desmond Allen",1996-01-01,?:?,"Tarawakan, Tawi-Tawi, Sulu Archipelago",Philippines,,,?,call,"single call",,79270,//creativecommons.org/licenses/by-nc-nd/2.5/
"Ruddy Kingfisher","Halcyon coromanda",claudiae,"Desmond Allen",1996-01-01,?:?,"Tawi-Tawi, Sulu Archipelago",Philippines,5.149,120,?,call,"adults with juveniles",,79311,//creativecommons.org/licenses/by-nc-nd/2.5/
"Collared Kingfisher","Todiramphus chloris",collaris,"Desmond Allen",1996-01-01,?:?,"Tawi-Tawi, Sulu Archipelago",Philippines,5.149,120,?,call,"bird calling",,79314,//creativecommons.org/licenses/by-nc-nd/2.5/
"Blue-eared Kingfisher","Alcedo meninting",,"Desmond Allen",1996-01-01,?:?,"Tawi-Tawi, Sulu Archipelago",Philippines,5.149,120,?,call,"flight calls in mangroves",,79318,//creativecommons.org/licenses/by-nc-nd/2.5/
"Blue-winged Racket-tail","Prioniturus verticalis",,"Desmond Allen",1996-01-05,?:?,-,Philippines,-,-,?,call,"Calls of perched birds",,79229,//creativecommons.org/licenses/by-nc-nd/2.5/
"Blue-naped Parrot","Tanygnathus lucionensis",,"Desmond Allen",1996-01-01,?:?,"Sibutu, Tawi-Tawi, Sulu Archipelago",Philippines,5.149,120,?,call,"Two birds calling from top of coconut tree",,79317,//creativecommons.org/licenses/by-nc-nd/2.5/
"Philippine Pied Fantail","Rhipidura nigritorquis",,"Desmond Allen",1996-01-01,?:?,"Tawi-Tawi, Sulu Archipelago",Philippines,5.149,120,?,song,"bird singing",,79312,//creativecommons.org/licenses/by-nc-nd/2.5/
"Large-billed Crow","Corvus macrorhynchos",philippinus,"Desmond Allen",1996-12-00,12:00,"Panglima Sugala, Tawi-Tawi, Autonomous Region in Muslim Mindanao",Philippines,5.1593,119.9762,50,call,"Recorded on walkman cassette recorder. Child's voice and chainsaw. Bird possibly calling in response to chainsaw.","Sarcops calvus",297124,//creativecommons.org/licenses/by-nc-sa/4.0/
"White-eared Tailorbird","Orthotomus cinereiceps",,"Desmond Allen",1996-04-05,?:?,"Pasonanca Natural Park, Zamboanga Peninsula, Mindanao",Philippines,,,?,"alarm call","alarm calls",,79235,//creativecommons.org/licenses/by-nc-nd/2.5/
Coleto,"Sarcops calvus",,"Desmond Allen",1996-01-12,?:?,"Tawi-Tawi, Sulu Archipelago",Philippines,5.149,120,?,call,"bird calling",,79315,//creativecommons.org/licenses/by-nc-nd/2.5/
