"Common name","Scientific name",Subspecies,Recordist,Date,Time,Location,Country,Latitude,Longitude,Elevation,Songtype,Remarks,Back_latin,"Catalogue number",License
"Visayan Shama","Copsychus superciliaris",,"Ross Gallardy",2017-05-27,07:00,"Libertad (near  Buruanga), Aklan, Western Visayas",Philippines,11.8,121.9667,360,song,,,403698,//creativecommons.org/licenses/by-nc-sa/4.0/
"Camiguin Bulbul","Hypsipetes catarmanensis",,"Jan Hein van Steenis",2017-12-28,07:30,"Catarman (near  Mambajao), Camiguin, Northern Mindanao",Philippines,9.1903,124.6922,500,"call, song","Two types of call and the very cool song from a small flock.
Never showed any response to playback, but common enough.",,402880,//creativecommons.org/licenses/by-nc-sa/4.0/
"Philippine Duck","Anas luzonica",,"Ross Gallardy",2017-06-04,10:30,"Romblon, Romblon, MIMAROPA",Philippines,12.4917,122.2717,40,"call, feeding calls",,,403726,//creativecommons.org/licenses/by-nc-sa/4.0/
"Palawan Peacock-Pheasant","Polyplectron napoleonis",,"Pete Hines",2017-02-26,07:30,"St. Paul's Subterranean national park, Palawan",Philippines,10.2005,118.9252,10,call,"Converted to Mp3 from video made with a Nikon CoolPix P900",,368390,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red Junglefowl","Gallus gallus",bankiva,"Brendan Sloan",2017-03-14,09:30,"Sibaliw Research Station Panay",Philippines,,,"800 masl approx",song,,,377897,//creativecommons.org/licenses/by-nc-sa/4.0/
"Philippine Frogmouth","Batrachostomus septimus","ss menagei","Brendan Sloan",2017-03-18,19:30,"Sibaliw Research Station Panay",Philippines,,,"800 masl approx",call,,,377899,//creativecommons.org/licenses/by-nc-sa/4.0/
"Philippine Frogmouth","Batrachostomus septimus","ss menagei","Brendan Sloan",2017-03-13,19:00,"Sibaliw Research Station Panay",Philippines,,,"800 masl approx",call,,,377027,//creativecommons.org/licenses/by-nc-sa/4.0/
"Philippine Frogmouth","Batrachostomus septimus","ss menagei","Brendan Sloan",2017-03-17,19:00,"Sibaliw Research Station Panay",Philippines,,,"800 masl approx",call,,,379012,//creativecommons.org/licenses/by-nc-sa/4.0/
"Philippine Frogmouth","Batrachostomus septimus","ss menagei","Brendan Sloan",2017-03-21,19:00,"Sibaliw Research Station Panay",Philippines,,,"800 masl approx",call,,,382028,//creativecommons.org/licenses/by-nc-sa/4.0/
"Philippine Frogmouth","Batrachostomus septimus","ss menagei","Brendan Sloan",2017-03-17,19:00,"Sibaliw Research Station Panay",Philippines,,,"800 masl approx",call,,,379020,//creativecommons.org/licenses/by-nc-sa/4.0/
"Whiskered Treeswift","Hemiprocne comata",,"Ross Gallardy",2017-06-07,07:00,"Morong (near  Subic Bay Freeport Zone), Bataan, Central Luzon",Philippines,14.7641,120.2837,120,call,,,403744,//creativecommons.org/licenses/by-nc-sa/4.0/
"Black-hooded Coucal","Centropus steerii",,"Jan Hein van Steenis",2017-12-25,08:45,"Siburan Penal Colony, Mindoro Occidenal",Philippines,12.8281,120.9139,140,song,"Calling softly from thick tangles after playback.","Hypsipetes mindorensis",402878,//creativecommons.org/licenses/by-nc-sa/4.0/
"Philippine Coucal","Centropus viridis",,"Jess Christian Pacot",2017-05-27,16:00,"Cabadbaran City, Agusan Del Norte, Caraga",Philippines,9.172,125.6629,400,call,,"Hypsipetes philippinus",377243,//creativecommons.org/licenses/by-nc-sa/4.0/
