"Common name","Scientific name",Subspecies,Recordist,Date,Time,Location,Country,Latitude,Longitude,Elevation,Songtype,Remarks,Back_latin,"Catalogue number",License
"Buff-banded Rail","Hypotaenidia philippensis",,"Desmond Allen",2006-01-01,?:?,"Sagada, Mountain Province, Luzon",Philippines,,,?,call,"bird calling from ricefield",,79328,//creativecommons.org/licenses/by-nc-nd/2.5/
"Green Racket-tail","Prioniturus luconensis",,"Desmond Allen",2006-01-01,?:?,-,Philippines,-,-,?,call,"Birds calling",,79240,//creativecommons.org/licenses/by-nc-nd/2.5/
"Azure-breasted Pitta","Pitta steerii",,"Desmond Allen",2006-06-11,?:?,"Caraga, Mindanao",Philippines,,,?,call,"bird calling",,79254,//creativecommons.org/licenses/by-nc-nd/2.5/
"Golden-bellied Gerygone","Gerygone sulphurea",,"Desmond Allen",2006-01-01,?:?,"Camarines Sur Province, Luzon",Philippines,,,?,song,"bird singing",,79303,//creativecommons.org/licenses/by-nc-nd/2.5/
"Elegant Tit","Pardaliparus elegans",,"Desmond Allen",2006-01-01,?:?,"Westgrove Heights, Silang, Cavite Province, Luzon",Philippines,,,?,call,"descending trill and chee calls",,79290,//creativecommons.org/licenses/by-nc-nd/2.5/
"Striated Grassbird","Megalurus palustris",,"Desmond Allen",2006-01-01,?:?,"Westgrove Heights, Silang, Cavite Province, Luzon",Philippines,,,?,song,"bird singing",,79302,//creativecommons.org/licenses/by-nc-nd/2.5/
"Lowland White-eye","Zosterops meyeni",,"Desmond Allen",2006-01-01,?:?,"Westgrove Heights, Silang, Cavite Province, Luzon",Philippines,,,?,call,"Birds calling from Acacia tree",,79234,//creativecommons.org/licenses/by-nc-nd/2.5/
"Brown Tit-Babbler","Macronus striaticeps",mindanensis,"Desmond Allen",2006-06-11,?:?,"Caraga, Mindanao",Philippines,,,?,song,"bird singing",,79253,//creativecommons.org/licenses/by-nc-nd/2.5/
"Philippine Fairy-bluebird","Irena cyanogastra",,"Desmond Allen",2006-01-01,?:?,"Mount Isarog, Camarines Sur Province, Luzon",Philippines,,,?,call,"agitated calls",,79238,//creativecommons.org/licenses/by-nc-nd/2.5/
"Island Thrush","Turdus poliocephalus",,"Desmond Allen",2006-01-01,?:?,"Mount Data National Park, Mountain Province, Luzon",Philippines,,,?,song,"Bird singing from near tree top between fields",,79278,//creativecommons.org/licenses/by-nc-nd/2.5/
"White-browed Shama","Copsychus luzoniensis",,"Desmond Allen",2006-01-01,?:?,"Mount Isarog, Camarines Sur Province, Luzon",Philippines,,,?,song,"bird singing from bush",,79285,//creativecommons.org/licenses/by-nc-nd/2.5/
"Orange-bellied Flowerpecker","Dicaeum trigonostigma",,"Desmond Allen",2006-01-01,?:?,"Camiguin Sur",Philippines,9.2062,124.6931,?,call,"calls only",,79291,//creativecommons.org/licenses/by-nc-nd/2.5/
"Luzon Sunbird","Aethopyga jefferyi",,"Desmond Allen",2006-01-01,?:?,"Mount Isarog, Camarines Sur Province, Luzon",Philippines,,,?,call,"Bird calling repeatedly",,79226,//creativecommons.org/licenses/by-nc-nd/2.5/
