"Common name","Scientific name",Subspecies,Recordist,Date,Time,Location,Country,Latitude,Longitude,Elevation,Songtype,Remarks,Back_latin,"Catalogue number",License
"Philippine Hawk-Cuckoo","Hierococcyx pectoralis",,"Frank Lambert",1989-00-00,?,"Eagle Centre, Mindanao",Philippines,7.1845,125.4162,?,song,"Solved mystery #1007 ( http://www.xeno-canto.org/discussion.php?snd_nr=1007  )",,89254,//creativecommons.org/licenses/by-nc-nd/4.0/
"Philippine Cuckoo-Dove","Macropygia tenuirostris",,"Frank Lambert",1989-00-00,?:?,"Mt Senaca, Mindanao",Philippines,,,?,song,,,30733,//creativecommons.org/licenses/by-nc-nd/4.0/
"Rufous Hornbill","Buceros hydrocorax",hydrocorax,"Frank Lambert",1989-00-00,?:?,"Queson National Park, Luzon",Philippines,13.95,121.86667,?,call,,,30745,//creativecommons.org/licenses/by-nc-nd/4.0/
"Luzon Flameback","Chrysocolaptes haematribon",,"Frank Lambert",1989-00-00,?:?,"Angat, Luzon",Philippines,14.92824,121.030465,?,call,"Luzon Flameback C. haematribon, split by IOC",,30704,//creativecommons.org/licenses/by-nc-nd/4.0/
"Hooded Pitta","Pitta sordida",sordida,"Frank Lambert",1989-00-00,?:?,"Eagle Centre, Mindanao",Philippines,7.184482,125.416145,?,song,,,30706,//creativecommons.org/licenses/by-nc-nd/4.0/
"Mountain Shrike","Lanius validirostris",,"Frank Lambert",1989-00-00,?:?,"Mount Polis, Luzon",Philippines,16.97472,121.02917,?,call,,,30751,//creativecommons.org/licenses/by-nc-nd/4.0/
"Mountain Shrike","Lanius validirostris",,"Frank Lambert",1989-00-00,?:?,"Mount Polis, Luzon",Philippines,16.97472,121.02917,?,call,,,30752,//creativecommons.org/licenses/by-nc-nd/4.0/
"Large-billed Crow","Corvus macrorhynchos",,"Frank Lambert",1989-00-00,?:?,"Eagle Centre, Mindanao",Philippines,7.184482,125.416145,?,call,"[originally uploaded as Slender-billed Crow but that was probably a mistake]",,30746,//creativecommons.org/licenses/by-nc-nd/4.0/
"Yellow-wattled Bulbul","Poliolophus urostictus",,"Frank Lambert",1989-00-00,?:?,"Eagle Centre, Mindanao",Philippines,7.184482,125.416145,?,song,,,30762,//creativecommons.org/licenses/by-nc-nd/4.0/
"Yellow-wattled Bulbul","Poliolophus urostictus",,"Frank Lambert",1989-00-00,?:?,"Eagle Centre, Mindanao",Philippines,7.184482,125.416145,?,song,,,30761,//creativecommons.org/licenses/by-nc-nd/4.0/
