"Common name","Scientific name",Subspecies,Recordist,Date,Time,Location,Country,Latitude,Longitude,Elevation,Songtype,Remarks,Back_latin,"Catalogue number",License
"Palawan Fairy-bluebird","Irena tweeddalii",,"Zhou Zhe 周哲",2019-10-01,11:00,-,Philippines,-,-,50,song,,,555887,//creativecommons.org/licenses/by-nc-sa/4.0/
"Palawan Fairy-bluebird","Irena tweeddalii",,"Djop Tabaranza",2019-11-07,13:30,-,Philippines,-,-,440,call,"Male seen/recorded calling with mixed flock of birds in sub-canopy of secondary forest along the road.","Phaenicophaeus curvirostris",545935,//creativecommons.org/licenses/by-nc-nd/4.0/
"Philippine Megapode","Megapodius cumingii","ss dillwyni","Brendan Sloan",2019-05-02,07:00,"Pandan Island Sablayan",Philippines,,,"5 masl",song,,,501970,//creativecommons.org/licenses/by-nc-nd/4.0/
"Palawan Peacock-Pheasant","Polyplectron napoleonis",,"Djop Tabaranza",2019-11-07,10:30,"Puerto Princesa, Palawan, MIMAROPA",Philippines,9.7566,118.6639,10,call,"Noise reduction applied through software.",,545933,//creativecommons.org/licenses/by-nc-nd/4.0/
"Philippine Nightjar","Caprimulgus manillensis",,"Janina Castro",2019-02-06,18:30,"Quezon City, Metro Manila, Metro Manila",Philippines,14.6395,121.078,60,,"video recording converted to sound, then cleaned for noise",,563111,//creativecommons.org/licenses/by-nc-sa/4.0/
"Philippine Nightjar","Caprimulgus manillensis",,"Brendan Sloan",2019-04-26,19:30,"Twin Lakes Negros",Philippines,,,"900 masl approx",call,,,500864,//creativecommons.org/licenses/by-nc-nd/4.0/
"Philippine Nightjar","Caprimulgus manillensis",,"Jun V",2019-05-13,01:30,"San Pedro, Laguna, Calabarzon",Philippines,14.3657,121.0335,40,call,"bird was calling from the roof of neighbor's house",,473700,//creativecommons.org/licenses/by-nc-sa/4.0/
"Philippine Frogmouth","Batrachostomus septimus",,"Rolly Urriza",2019-02-23,22:30,"Pili, Camarines Sur, Bicol",Philippines,13.638,123.3399,550,call,"The recording .WMA was converted to .mp3.
The bird is calling for three nights near our camp situated at elevation of 596m. exact coordinates is as follows. N13.63449, E123.34477
Based on my photos, the species we saw exhibit the rufous phase though we cannot judge if male or female.
Habitat is situated in a slightly rolling terrain vegetated with regenerating natural stands, planted with Kupang, Narra, Mahogany.  Major ground cover is a mosaic of coffee, climbing bamboos and natural regenerants.",,461563,//creativecommons.org/licenses/by-nc-sa/4.0/
"Philippine Hawk-Cuckoo","Hierococcyx pectoralis",,"Brendan Sloan",2019-05-24,06:00,"Nug As Alcoy Cebu",Philippines,,,"200 masl approx",song,,,504985,//creativecommons.org/licenses/by-nc-nd/4.0/
"Philippine Hawk-Cuckoo","Hierococcyx pectoralis",,"Brendan Sloan",2019-05-24,06:00,"Nug As Alcoy Cebu",Philippines,,,"200 masl approx",song,,,504984,//creativecommons.org/licenses/by-nc-nd/4.0/
"Mindanao Bleeding-heart","Gallicolumba crinigera",,"Garry Bakker",2019-03-21,06:04,"Bunawan (near  Rosario), Agusan del Sur, Caraga",Philippines,8.258,126.15,170,song,"Singing from a small patch of remnant rain forest with some rock outcroppings. Song faint but continuously audible. ",,573542,//creativecommons.org/licenses/by-nc-sa/4.0/
"Philippine Green Pigeon","Treron axillaris",,"Brendan Sloan",2019-04-16,08:30,"Leyte Island ",Philippines,,,"50 masl approx",song,,,498290,//creativecommons.org/licenses/by-nc-nd/4.0/
"Yellow-breasted Fruit Dove","Ptilinopus occipitalis",occipitalis,"Yann Muzika",2019-04-05,15:00,"Real, Quezon, Calabarzon",Philippines,14.5633,121.4968,700,song,"Hi-Pass Lo-Pass filters",,467510,//creativecommons.org/licenses/by-nc-sa/4.0/
