"Common name","Scientific name",Subspecies,Recordist,Date,Time,Location,Country,Latitude,Longitude,Elevation,Songtype,Remarks,Back_latin,"Catalogue number",License
"Large-tailed Nightjar","Caprimulgus macrurus",,"Paul Lenrumé",2023-04-23,22:30,"Road to Barton, forest",Philippines,10.3829,119.1724,140,song,,,798014,//creativecommons.org/licenses/by-nc-sa/4.0/
"Philippine Nightjar","Caprimulgus manillensis",,"Paul Lenrumé",2023-05-07,19:00,"Bilar, Bohol, Central Visayas",Philippines,9.7252,124.082,280,song,,,805935,//creativecommons.org/licenses/by-nc-sa/4.0/
"Philippine Nightjar","Caprimulgus manillensis",,"Remrick Patagan",2023-02-23,18:30,"Quezon City, Metro Manila, Metro Manila",Philippines,14.7002,121.0791,80,,"Recorded shortly after sunset at a vacant lot with fairly dense tree cover (mostly mango trees) in a residential area. ",,783791,//creativecommons.org/licenses/by-nc-sa/4.0/
"Palawan Frogmouth","Batrachostomus chaseni",,"Paul Lenrumé",2023-04-23,19:00,"Road to Barton, forest",Philippines,10.3829,119.1724,140,call,,,798015,//creativecommons.org/licenses/by-nc-sa/4.0/
"Palawan Frogmouth","Batrachostomus chaseni",,"Paul Lenrumé",2023-04-23,19:00,"Road to Barton, forest",Philippines,10.3829,119.1724,140,uncertain,,,798016,//creativecommons.org/licenses/by-nc-sa/4.0/
"Black-hooded Coucal","Centropus steerii",,"Cheta Chua",2023-10-01,07:26,"Sablayan Penal Colony, Mindoro",Philippines,12.8121,120.9243,440,,,,833224,//creativecommons.org/licenses/by-nc-sa/4.0/
"Philippine Coucal","Centropus viridis",,"Jacob Wijpkema",2023-06-26,06:30,"Rear View Lake (near  Santa Rosa), Laguna, Calabarzon",Philippines,14.2346,121.0596,100,song,,,812270,//creativecommons.org/licenses/by-nc-sa/4.0/
"Lesser Coucal","Centropus bengalensis",,"Jacob Wijpkema",2023-06-26,06:30,"Rear View Lake (near  Santa Rosa), Laguna, Calabarzon",Philippines,14.2346,121.0596,100,song,"I am not sure about ID. So if you can, please confirm or correct.",,812268,//creativecommons.org/licenses/by-nc-sa/4.0/
"Lesser Coucal","Centropus bengalensis",,"Paul Lenrumé",2023-04-20,07:00,"Road to Barton, ricefield",Philippines,10.3724,119.1624,10,"duet, song",,,798013,//creativecommons.org/licenses/by-nc-sa/4.0/
"Asian Koel","Eudynamys scolopaceus",,"Jun V",2023-04-08,11:30,"City of San Pedro (near  San Pedro), Laguna, Calabarzon",Philippines,14.3656,121.0332,30,,,"Copsychus mindanensis,Passer montanus",791733,//creativecommons.org/licenses/by-nc-sa/4.0/
"Square-tailed Drongo-Cuckoo","Surniculus lugubris",,"Paul Lenrumé",2023-04-23,08:00,"Road to Barton, forest",Philippines,10.3829,119.1724,140,song,,,798020,//creativecommons.org/licenses/by-nc-sa/4.0/
"Philippine Cuckoo-Dove","Macropygia tenuirostris",tenuirostris,"Ding Li Yong",2023-07-01,07:00,"Real, Quezon, Calabarzon",Philippines,14.6048,121.5245,650,song,,,814059,//creativecommons.org/licenses/by-nc-nd/4.0/
"Zebra Dove","Geopelia striata",,"Jocce Ekstrom",2023-03-31,06:00,"Panan private resort",Philippines,15.2151,120.0205,10,song,"An early morning walk around the place. Highpass filter 600/12 because of the generator noise. ","Megalurus palustris",797253,//creativecommons.org/licenses/by-nc-sa/4.0/
"Mindanao Brown Dove","Phapitreron brunneiceps",,"Cheta Chua",2023-01-05,07:00,"New Bataan, Compostela Valley, Davao Region",Philippines,,,1500,,,,776515,//creativecommons.org/licenses/by-nc-sa/4.0/
"White-breasted Waterhen","Amaurornis phoenicurus",,"Paul Lenrumé",2023-04-24,06:30,"Road to Barton, ricefield",Philippines,10.3724,119.1624,10,call,"
",,795996,//creativecommons.org/licenses/by-nc-sa/4.0/
