"Common name","Scientific name",Subspecies,Recordist,Date,Time,Location,Country,Latitude,Longitude,Elevation,Songtype,Remarks,Back_latin,"Catalogue number",License
"Tawitawi Brown Dove","Phapitreron cinereiceps",,"Desmond Allen",1999-00-00,?:?,"Lubbuk, Tawi Tawi",Philippines,5.149,120,?,song,,,81128,//creativecommons.org/licenses/by-nc-nd/2.5/
"Hombron's Kingfisher","Actenoides hombroni",,"Niels Poul Dreyer",1999-03-07,07:00,"Mindanao: Bislig; PICOP",Philippines,8.257,126.221,150,song,,,270584,//creativecommons.org/licenses/by-nc-sa/4.0/
"Sulu Pygmy Woodpecker","Yungipicus ramsayi",,"Desmond Allen",1999-00-00,?:?,"Lubbuk, Tawi Tawi",Philippines,5.149,120,?,call,,,81136,//creativecommons.org/licenses/by-nc-nd/2.5/
"Philippine Pitta","Erythropitta erythrogaster",,"Niels Poul Dreyer",1999-03-07,08:00,"Luzon; Laguna Province; Mt. Makiling Forest Reserve",Philippines,14.15,121.232,160,song,"soft call with other birds in the background",,270586,//creativecommons.org/licenses/by-nc-sa/4.0/
"Azure-breasted Pitta","Pitta steerii",,"Niels Poul Dreyer",1999-03-07,07:00,"Rajah Sikatuna NP, Bohol",Philippines,9.6982,124.1187,380,song,,"Centropus melanops",270580,//creativecommons.org/licenses/by-nc-sa/4.0/
"White-vented Whistler","Pachycephala homeyeri",homeyeri,"Desmond Allen",1999-01-02,?:?,"Tawi-Tawi, Sulu Archipelago",Philippines,5.149,120,?,call,"soft chonk calls near beginning and end of recording. Loud call at 4s is Sulu Hornbill","Anthracoceros montani",79216,//creativecommons.org/licenses/by-nc-nd/2.5/
"White-vented Whistler","Pachycephala homeyeri",major,"Desmond Allen",1999-01-02,?:?,"Nug-as, Alcoy, Cebu",Philippines,,,?,song,"bird singing",,79190,//creativecommons.org/licenses/by-nc-nd/2.5/
"Tablas Drongo","Dicrurus menagei",,"Desmond Allen",1999-08-00,?,"Dobdoban, San Agustin",Philippines,,,100,call,,,93694,//creativecommons.org/licenses/by-nc-nd/2.5/
"Tablas Drongo","Dicrurus menagei",,"Desmond Allen",1999-01-08,?:?,"Tablas Island, Romblon Province",Philippines,,,?,song,"Pair of birds above a stream. Often split as Tablas Drongo",,79239,//creativecommons.org/licenses/by-nc-nd/2.5/
"Blue-headed Fantail","Rhipidura cyaniceps",cyaniceps,"Niels Poul Dreyer",1999-03-07,07:00,"Mount Makiling, Luzon",Philippines,14.1358,121.19,1000,song,,,270579,//creativecommons.org/licenses/by-nc-sa/4.0/
"Philippine Bulbul","Hypsipetes philippinus",,"Niels Poul Dreyer",1999-03-07,08:00,"Rajah Sikatuna NP, Bohol",Philippines,9.6982,124.1187,380,song,,,270585,//creativecommons.org/licenses/by-nc-sa/4.0/
"Tawny Grassbird","Cincloramphus timoriensis",,"Desmond Allen",1999-01-02,?:?,"Nug-as, Alcoy, Cebu",Philippines,,,?,call,"Typical call",,79191,//creativecommons.org/licenses/by-nc-nd/2.5/
"Grey-backed Tailorbird","Orthotomus derbianus",derbianus,"Niels Poul Dreyer",1999-03-07,07:00,"Mount Makiling, Luzon",Philippines,14.1358,121.19,1000,song,,,270583,//creativecommons.org/licenses/by-nc-sa/4.0/
"Grey-backed Tailorbird","Orthotomus derbianus",derbianus,"Niels Poul Dreyer",1999-03-07,07:00,"Mount Makiling, Luzon",Philippines,14.1358,121.19,1000,song,,,270582,//creativecommons.org/licenses/by-nc-sa/4.0/
"Black Shama","Copsychus cebuensis",,"Desmond Allen",1999-01-02,?:?,"Nug-as, Alcoy, Cebu",Philippines,,,?,song,"Bird singing",,79184,//creativecommons.org/licenses/by-nc-nd/2.5/
"Handsome Sunbird","Aethopyga bella",,"Desmond Allen",1999-01-02,?:?,"Nug-as, Alcoy, Cebu",Philippines,,,?,call,"Bird calling",,79192,//creativecommons.org/licenses/by-nc-nd/2.5/
