"Common name","Scientific name",Subspecies,Recordist,Date,Time,Location,Country,Latitude,Longitude,Elevation,Songtype,Remarks,Back_latin,"Catalogue number",License
"Asian Koel","Eudynamys scolopaceus",,"Jun V",2022-04-16,08:00,"City of San Pedro (near  San Pedro), Laguna, Calabarzon",Philippines,14.3656,121.0332,30,call,,,715821,//creativecommons.org/licenses/by-nc-sa/4.0/
"Plaintive Cuckoo","Cacomantis merulinus",,"Andrew Collins",2022-03-19,05:00,"Compostela (near  Barangay San Miguel), Compostela Valley, Davao Region",Philippines,7.6374,126.1227,90,song,"Singing before sunrise",,709671,//creativecommons.org/licenses/by-nc-sa/4.0/
"Everett's Scops Owl","Otus everetti",,"Hans Matheve",2022-03-02,?,"Rajah Sikatuna, Bohol, Central Visayas",Philippines,9.7056,124.1234,400,call,"ID not 100% certain. Bird not seen. In response to playback.",,963524,//creativecommons.org/licenses/by-nc-nd/4.0/
"Philippine Trogon","Harpactes ardens",linae,"Hans Matheve",2022-03-02,?,"Rajah Sikatuna, Bohol, Central Visayas",Philippines,9.7056,124.1234,400,call,,,963522,//creativecommons.org/licenses/by-nc-nd/4.0/
"Philippine Trogon","Harpactes ardens",linae,"Hans Matheve",2022-03-02,?,"Rajah Sikatuna, Bohol, Central Visayas",Philippines,9.7056,124.1234,400,call,,,963521,//creativecommons.org/licenses/by-nc-nd/4.0/
"Whiskered Pitta","Erythropitta kochi",,"Jorge de Leon Cardozo ",2022-10-14,07:30,"Real, Quezon, Calabarzon",Philippines,,,650,,"Distant call, two individuals calling for a while.  Show very briefly..",,830264,//creativecommons.org/licenses/by-nc-sa/4.0/
"Whiskered Pitta","Erythropitta kochi",,"Jorge de Leon Cardozo ",2022-10-14,07:30,"Real, Quezon, Calabarzon",Philippines,,,650,,"Distant call, two individuals calling for a while.  Show very briefly..",,830263,//creativecommons.org/licenses/by-nc-sa/4.0/
"Yellow-bellied Whistler","Pachycephala philippinensis",boholensis,"Hans Matheve",2022-03-02,?,"Rajah Sikatuna, Bohol, Central Visayas",Philippines,9.7056,124.1234,400,song,,,963527,//creativecommons.org/licenses/by-nc-nd/4.0/
"Visayan Blue Fantail","Rhipidura samarensis",,"Hans Matheve",2022-03-02,?,"Rajah Sikatuna, Bohol, Central Visayas",Philippines,9.7056,124.1234,400,song,,,963526,//creativecommons.org/licenses/by-nc-nd/4.0/
"Visayan Blue Fantail","Rhipidura samarensis",,"Hans Matheve",2022-03-02,?,"Rajah Sikatuna, Bohol, Central Visayas",Philippines,9.7056,124.1234,400,song,,,963525,//creativecommons.org/licenses/by-nc-nd/4.0/
"Philippine Pied Fantail","Rhipidura nigritorquis",,"Andrew Collins",2022-03-20,01:30,"Compostela (near  Barangay San Miguel), Compostela Valley, Davao Region",Philippines,7.6374,126.1227,90,song,"Singing overnight",,709670,//creativecommons.org/licenses/by-nc-sa/4.0/
"Philippine Bulbul","Hypsipetes philippinus",,"Jorge de Leon Cardozo ",2022-10-13,10:00,"Luzon (near  Santa Maria), Laguna, Calabarzon",Philippines,14.5545,121.4838,650,,,,830458,//creativecommons.org/licenses/by-nc-sa/4.0/
"Sierra Madre Ground Warbler","Robsonius thompsoni",,"Cheta Chua",2022-02-27,09:00,"Baggao, Cagayan, Cagayan Valley",Philippines,18.0208,121.9978,190,song,,,704950,//creativecommons.org/licenses/by-nc-sa/4.0/
"Grey-backed Tailorbird","Orthotomus derbianus",,"Jorge de Leon Cardozo ",2022-10-14,07:30,"Real, Quezon, Calabarzon",Philippines,,,650,,,,830267,//creativecommons.org/licenses/by-nc-sa/4.0/
"Grey-backed Tailorbird","Orthotomus derbianus",,"Jorge de Leon Cardozo ",2022-10-14,07:30,"Real, Quezon, Calabarzon",Philippines,,,650,,,,830266,//creativecommons.org/licenses/by-nc-sa/4.0/
"Grey-backed Tailorbird","Orthotomus derbianus",,"Jorge de Leon Cardozo ",2022-10-14,07:30,"Real, Quezon, Calabarzon",Philippines,,,650,,,,830265,//creativecommons.org/licenses/by-nc-sa/4.0/
"Yellow-breasted Tailorbird","Orthotomus samarensis",,"Cheta Chua",2022-06-04,14:30,"Rajah Sikatuna NP, Bohol",Philippines,9.6982,124.1187,380,song,,"Ptilocichla mindanensis",730702,//creativecommons.org/licenses/by-nc-sa/4.0/
"Philippine Fairy-bluebird","Irena cyanogastra",,"Jorge de Leon Cardozo ",2022-10-13,09:30,"Luzon (near  Santa Maria), Laguna, Calabarzon",Philippines,14.5545,121.4838,650,,,,830456,//creativecommons.org/licenses/by-nc-sa/4.0/
"Furtive Flycatcher","Ficedula disposita",,"Cheta Chua",2022-03-13,13:30,"Nagtipunan (near  Kasibu), Nueva Vizcaya, Cagayan Valley",Philippines,16.322,121.3917,700,song,,,708313,//creativecommons.org/licenses/by-nc-sa/4.0/
"Identity unknown","Mystery mystery",,"Cheta Chua",2022-06-25,06:30,"Antipolo City (near  Antipolo), Rizal, Calabarzon",Philippines,14.6631,121.3268,650,uncertain,"Possible furtive flycatcher",,734032,//creativecommons.org/licenses/by-nc-sa/4.0/
"Identity unknown","Mystery mystery",,"Andrew Collins",2022-03-19,00:30,"Compostela (near  Barangay San Miguel), Compostela Valley, Davao Region",Philippines,7.6374,126.1227,90,uncertain,"Recorded overnight, presumed Moorhen but these aren't common here.",,709498,//creativecommons.org/licenses/by-nc-sa/4.0/
