"Common name","Scientific name",Subspecies,Recordist,Date,Time,Location,Country,Latitude,Longitude,Elevation,Songtype,Remarks,Back_latin,"Catalogue number",License
"Palawan Fairy-bluebird","Irena tweeddalii",,"Jelle Scharringa",1985-04-05,07:40,-,Philippines,-,-,90,song,"3 birds in canopy of primary forest  on slope high above the beach.
","Eudynamys scolopaceus,Mixornis gularis",653400,//creativecommons.org/licenses/by-nc-sa/4.0/
"Palawan Crow","Corvus pusillus",,"Jelle Scharringa",1985-04-05,08:00,"Puerto Princesa Subterranean River NP, Palawan",Philippines,10.1938,118.9186,50,"flight call, wingbeats","A few birds flying through canopy in primary forest on top of ridge. Including wingbeats.","Eudynamys scolopaceus,Ducula aenea,Mixornis gularis",628125,//creativecommons.org/licenses/by-nc-sa/4.0/
"Palawan Fairy-bluebird","Irena tweeddalii",,"Arend Wassink",1985-04-05,09:00,-,Philippines,-,-,50,call,"calls of several birds.",,164682,//creativecommons.org/licenses/by-nc-sa/3.0/
"Palawan Fairy-bluebird","Irena tweeddalii",,"Arend Wassink",1985-04-03,10:00,-,Philippines,-,-,50,call,"calls of at least two birds",,164680,//creativecommons.org/licenses/by-nc-sa/3.0/
"Palawan Crow","Corvus pusillus",,"Arend Wassink",1985-04-04,08:30,"St. Paul's Subterranean national park, Palawan",Philippines,10.198,118.912,sea-level,call,,,164674,//creativecommons.org/licenses/by-nc-sa/3.0/
"Palawan Crow","Corvus pusillus",,"Jelle Scharringa",1985-03-31,08:00,"Palawan; Iwahig",Philippines,9.7,118.6,80,"flight call","Two flying over in dense secondary forest near Balsahan  stream.
",,628123,//creativecommons.org/licenses/by-nc-sa/4.0/
"Philippine Megapode","Megapodius cumingii",,"Jelle Scharringa",1985-04-04,06:30,"Puerto Princesa City (near  Puerto Princesa), Palawan, MIMAROPA",Philippines,10.1985,118.9258,90,song,"A few birds present  on evergreen forest slope above the beach.","Pardaliparus amabilis,Ducula aenea",568958,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red Junglefowl","Gallus gallus",,"Jelle Scharringa",1985-04-05,07:45,"Puerto Princesa Subterranean NP,  Sabang, Palawan",Philippines,10.1931,118.9084,20,song,"One ♂ replying to second bird in distance, in primary forest on top of ridge
","Surniculus lugubris,Mixornis gularis",773133,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red Junglefowl","Gallus gallus",,"Jelle Scharringa",1985-04-05,07:45,"Puerto Princesa Subterranean NP,  Sabang, Palawan",Philippines,10.1931,118.9084,20,song,"One ♂ replying to second bird in distance, in primary forest on top of ridge
","Surniculus lugubris,Mixornis gularis",773132,//creativecommons.org/licenses/by-nc-sa/4.0/
"Great Eared Nightjar","Lyncornis macrotis",,"Jelle Scharringa",1985-03-24,18:40,"Davao City, Davao del Sur, Davao Region",Philippines,7.0237,125.3778,1100,song,"Two birds chasing each other over clearing above Baracatan Eagle Camp.",,612191,//creativecommons.org/licenses/by-nc-sa/4.0/
