"Common name","Scientific name",Subspecies,Recordist,Date,Time,Location,Country,Latitude,Longitude,Elevation,Songtype,Remarks,Back_latin,"Catalogue number",License
"Philippine Nightjar","Caprimulgus manillensis",,lccal,2021-03-30,19:30,"Quezon City, Metro Manila, Metro Manila",Philippines,14.6701,121.08,80,call,"Audio subjected to band-pass filtering",,634223,//creativecommons.org/licenses/by-nc-sa/4.0/
"Philippine Nightjar","Caprimulgus manillensis",,"Miguel David De Leon",2021-10-17,17:41,"Cagayan De Oro City (near  Cagayan de Oro), Misamis Oriental, Northern Mindanao",Philippines,8.4607,124.7043,70,call,"this series of notes heard during mating season",,680871,//creativecommons.org/licenses/by-nc-sa/4.0/
"Philippine Nightjar","Caprimulgus manillensis",,lccal,2021-03-29,20:30,"Quezon City, Metro Manila, Metro Manila",Philippines,14.6701,121.08,80,call,"audio subjected to band-pass filter and normalized",,633413,//creativecommons.org/licenses/by-nc-sa/4.0/
"White-eared Brown Dove","Phapitreron leucotis",,"Michaela Webb",2021-02-02,17:50,"Abra De Ilog, Occidental Mindoro, MIMAROPA",Philippines,13.4781,120.8164,10,call,,,654064,//creativecommons.org/licenses/by-nc-sa/4.0/
"Mindoro Hornbill","Penelopides mindorensis",,"Michaela Webb",2021-02-02,17:50,"Abra De Ilog, Occidental Mindoro, MIMAROPA",Philippines,13.4781,120.8164,10,call,,,654062,//creativecommons.org/licenses/by-nc-sa/4.0/
"Hooded Pitta","Pitta sordida",sordida,"Jun V",2021-06-29,11:30,"San Pedro, Laguna, Calabarzon",Philippines,14.3657,121.0335,30,call,,"Dicaeum australe,Passer montanus",659946,//creativecommons.org/licenses/by-nc-sa/4.0/
"Arctic Warbler","Phylloscopus borealis",,"Mark Jason Villa",2021-02-14,07:00,"Total NLEX",Philippines,,,0,call,"wetland habitat","Gerygone sulphurea,Acrocephalus stentoreus",622980,//creativecommons.org/licenses/by-nc-sa/4.0/
"Bicol Ground Warbler","Robsonius sorsogonensis",,"Cheta Chua",2021-11-30,12:30,"Real, Quezon, Calabarzon",Philippines,14.5724,121.5017,700,song,,,689782,//creativecommons.org/licenses/by-nc-sa/4.0/
"Flame-templed Babbler","Dasycrotapha speciosa",,"Toto Den",2021-07-15,09:43,"Cadiz City, Negros Occidental, Western Visayas",Philippines,10.7862,123.1954,650,uncertain,,,663313,//creativecommons.org/licenses/by-nc-sa/4.0/
"White-browed Shama","Copsychus luzoniensis",,"Cheta Chua",2021-07-04,07:00,"Real, Quezon, Calabarzon",Philippines,14.5724,121.5017,700,song,,,661550,//creativecommons.org/licenses/by-nc-sa/4.0/
"Identity unknown","Mystery mystery",,"ANGELIQUE RAFAEL",2021-03-09,07:15,"Abucay, Bataan, Central Luzon",Philippines,14.7128,120.4934,80,"aberrant, call","In this recording, 3 species of birds were identified: Philippine Bulbul, Black-Naped Oriole, and Flowerpecker @1.45min. But subspecies of the flowerpecker was not identified. ","Hypsipetes philippinus",665555,//creativecommons.org/licenses/by-nc-sa/4.0/
"Identity unknown","Mystery mystery",,"Robert Hutchinson",2021-09-02,02:40,"City of Bacoor (near  Bacoor), Cavite, Calabarzon",Philippines,14.4047,120.9689,30,"nocturnal flight call","Record at night at 02.40, perhaps Black-winged Stilt?",,681698,//creativecommons.org/licenses/by-nc-sa/4.0/
"Identity unknown","Mystery mystery",,"Robert Hutchinson",2021-09-02,00:55,"City of Bacoor (near  Bacoor), Cavite, Calabarzon",Philippines,14.4047,120.9689,30,"nocturnal flight call","Record at night at 00.55",,681697,//creativecommons.org/licenses/by-nc-sa/4.0/
"Identity unknown","Mystery mystery",,"ANGELIQUE RAFAEL",2021-03-10,06:00,"Abucay, Bataan, Central Luzon",Philippines,14.7128,120.4934,80,,"in this recording, there are a lot of mixed calls from different species of birds such as coppersmith barbet and black-naped oriole. Other calls were not identified yet. ","Psilopogon haemacephalus",665552,//creativecommons.org/licenses/by-nc-sa/4.0/
"Identity unknown","Mystery mystery",,"Mark Jason Villa",2021-02-21,10:30,"Total NLEX",Philippines,,,0,call,"wetland vegetation",,622978,//creativecommons.org/licenses/by-nc-sa/4.0/
