"Common name","Scientific name",Subspecies,Recordist,Date,Time,Location,Country,Latitude,Longitude,Elevation,Songtype,Remarks,Back_latin,"Catalogue number",License
"Philippine Nightjar","Caprimulgus manillensis",,"Cloyd Leyson",2026-01-02,01:16,"Consolacion, Cebu, Central Visayas",Philippines,10.3979,123.9546,20,"call, song",,,1069966,//creativecommons.org/licenses/by-nc-sa/4.0/
"Ridgetop Swiftlet","Collocalia isonota",,"Chi-Hsuan Shao",2026-02-23,08:31,"Eden Nature Park",Philippines,7.0311,125.3961,850,call,,,1083594,//creativecommons.org/licenses/by-nc-sa/4.0/
"Black-faced Coucal","Centropus melanops",,"Chi-Hsuan Shao",2026-02-12,15:44,"Mapawa Nature Park (near  Cagayan De Oro City), Misamis Oriental, Northern Mindanao",Philippines,8.4351,124.7035,340,,,,1083559,//creativecommons.org/licenses/by-nc-sa/4.0/
"Philippine Cuckoo-Dove","Macropygia tenuirostris",,"Chi-Hsuan Shao",2026-02-17,17:04,"Mt. Tagubud",Philippines,7.445,126.2267,2600,song,,,1083572,//creativecommons.org/licenses/by-nc-sa/4.0/
"White-eared Brown Dove","Phapitreron leucotis",brevirostris,"Chi-Hsuan Shao",2026-02-21,13:59,"PICOP, Bislig, Agusan del Sur, Mindanao",Philippines,8.26,126.22,150,call,,,1083597,//creativecommons.org/licenses/by-nc-sa/4.0/
"Pink-bellied Imperial Pigeon","Ducula poliocephala",,"Chi-Hsuan Shao",2026-02-20,11:01,"PICOP, Bislig, Agusan del Sur, Mindanao",Philippines,8.26,126.22,150,,,,1083616,//creativecommons.org/licenses/by-nc-sa/4.0/
"Green Imperial Pigeon","Ducula aenea",,"Chi-Hsuan Shao",2026-02-19,07:19,"PICOP, Bislig, Agusan del Sur, Mindanao",Philippines,8.26,126.22,150,call,,,1083610,//creativecommons.org/licenses/by-nc-sa/4.0/
"Plain Bush-hen","Amaurornis olivacea",,"Chi-Hsuan Shao",2026-02-15,16:22,"Intavas Trail",Philippines,8.1542,124.9275,2100,call,,,1083584,//creativecommons.org/licenses/by-nc-sa/4.0/
"Pinsker's Hawk-Eagle","Nisaetus pinskeri",,"Chi-Hsuan Shao",2026-02-17,13:52,"Mt. Tagubud",Philippines,7.445,126.2267,2600,"call, flight call",,,1083571,//creativecommons.org/licenses/by-nc-sa/4.0/
"Chocolate Boobook","Ninox randi",,"Chi-Hsuan Shao",2026-02-20,18:16,"PICOP, Bislig, Agusan del Sur, Mindanao",Philippines,8.26,126.22,150,,,,1083617,//creativecommons.org/licenses/by-nc-sa/4.0/
"Philippine Trogon","Harpactes ardens",,"Chi-Hsuan Shao",2026-02-21,16:23,"PICOP, Bislig, Agusan del Sur, Mindanao",Philippines,8.26,126.22,150,call,,,1083596,//creativecommons.org/licenses/by-nc-sa/4.0/
"Rufous Hornbill","Buceros hydrocorax",hydrocorax,"Djop Tabaranza",2026-02-16,12:30,"Real, Quezon, Calabarzon",Philippines,14.5743,121.5052,650,,"Family of 5 Northern Rufous Hornbills where encountered in the field. Flock was foraging on mid and upper canopy of fruiting trees in secondary forest. No playback was used. No filters applied. Adults sex were distinguished by eye color (pale blue & yellow-orange). Sub-adults had nearly adult plumage but blackish-red bills. Juvenile had creamy brown plumage and all black bill.",,1081022,//creativecommons.org/licenses/by-nc-nd/4.0/
"Mindanao Hornbill","Penelopides affinis",,"Chi-Hsuan Shao",2026-02-14,16:35,"Cinchona Forest Reserve",Philippines,8.0571,125.0061,1200,call,,,1083563,//creativecommons.org/licenses/by-nc-sa/4.0/
"Winchell's Kingfisher","Todiramphus winchelli",,"Chi-Hsuan Shao",2026-02-21,09:33,"PICOP, Bislig, Agusan del Sur, Mindanao",Philippines,8.26,126.22,150,,,,1083619,//creativecommons.org/licenses/by-nc-sa/4.0/
"Coppersmith Barbet","Psilopogon haemacephalus",,"Chi-Hsuan Shao",2026-02-23,06:56,"Eden Nature Park",Philippines,7.0311,125.3961,850,call,,,1083593,//creativecommons.org/licenses/by-nc-sa/4.0/
"Philippine Falconet","Microhierax erythrogenys",,"Chi-Hsuan Shao",2026-02-13,11:11,"Cagayan De Oro City, Misamis Oriental, Northern Mindanao",Philippines,8.3064,124.4964,360,"begging call, call",,,1083623,//creativecommons.org/licenses/by-nc-sa/4.0/
"Blue-crowned Racket-tail","Prioniturus discurus",,"Chi-Hsuan Shao",2026-02-19,15:39,"PICOP, Bislig, Agusan del Sur, Mindanao",Philippines,8.26,126.22,150,call,,,1083612,//creativecommons.org/licenses/by-nc-sa/4.0/
"Mindanao Lorikeet","Saudareos johnstoniae",,"Chi-Hsuan Shao",2026-02-24,16:46,-,Philippines,-,-,1400,call,,,1083592,//creativecommons.org/licenses/by-nc-sa/4.0/
"Azure-breasted Pitta","Pitta steerii",,"Chi-Hsuan Shao",2026-02-20,09:01,"PICOP, Bislig, Agusan del Sur, Mindanao",Philippines,8.26,126.22,150,,,,1083615,//creativecommons.org/licenses/by-nc-sa/4.0/
"McGregor's Cuckooshrike","Malindangia mcgregori",,"Chi-Hsuan Shao",2026-02-15,08:11,"Intavas Trail",Philippines,8.1542,124.9275,2100,,,,1083581,//creativecommons.org/licenses/by-nc-sa/4.0/
"Philippine Pied Fantail","Rhipidura nigritorquis",,"Chi-Hsuan Shao",2026-02-13,17:24,"Loiza's Pavilion",Philippines,8.132,125.1326,550,call,,,1083560,//creativecommons.org/licenses/by-nc-sa/4.0/
"Black-and-cinnamon Fantail","Rhipidura nigrocinnamomea",,"Chi-Hsuan Shao",2026-02-16,09:08,"Cinchona Forest Reserve",Philippines,8.0571,125.0061,1200,call,,,1083564,//creativecommons.org/licenses/by-nc-sa/4.0/
"Elegant Tit","Pardaliparus elegans",,"Chi-Hsuan Shao",2026-02-25,10:16,"Lake Holon",Philippines,6.1052,124.8648,1400,call,,,1083587,//creativecommons.org/licenses/by-nc-sa/4.0/
"Yellowish Bulbul","Hypsipetes everetti",,"Chi-Hsuan Shao",2026-02-20,07:53,"PICOP, Bislig, Agusan del Sur, Mindanao",Philippines,8.26,126.22,150,,,,1083614,//creativecommons.org/licenses/by-nc-sa/4.0/
"Rufous-headed Tailorbird","Phyllergates heterolaemus",,"Chi-Hsuan Shao",2026-02-15,07:55,"Intavas Trail",Philippines,8.1542,124.9275,2100,,,,1083580,//creativecommons.org/licenses/by-nc-sa/4.0/
"Long-tailed Bush Warbler","Locustella caudata",,"Chi-Hsuan Shao",2026-02-15,09:05,"Intavas Trail",Philippines,8.1542,124.9275,2100,call,,,1083585,//creativecommons.org/licenses/by-nc-sa/4.0/
"Tawny Grassbird","Cincloramphus timoriensis",,"Chi-Hsuan Shao",2026-02-17,07:39,"Mt. Tagubud",Philippines,7.445,126.2267,2600,call,,,1083570,//creativecommons.org/licenses/by-nc-sa/4.0/
