"Common name","Scientific name",Subspecies,Recordist,Date,Time,Location,Country,Latitude,Longitude,Elevation,Songtype,Remarks,Back_latin,"Catalogue number",License
"Great Eared Nightjar","Lyncornis macrotis",,"Desmond Allen",1994-01-03,?:?,"Hamut Camp, Cagayan Province, Luzon",Philippines,17.5491,121.946,?,call,"bird calling at night",,79251,//creativecommons.org/licenses/by-nc-nd/2.5/
"Plain Bush-hen","Amaurornis olivacea",,"Desmond Allen",1994-02-13,?:?,Luzon,Philippines,,,?,song,,,81132,//creativecommons.org/licenses/by-nc-nd/2.5/
"Rufous Hornbill","Buceros hydrocorax",,"Desmond Allen",1994-01-03,?:?,"Hamut Camp, Cagayan Province, Luzon",Philippines,17.5491,121.946,?,call,"birds calling, possibly duetting",,79261,//creativecommons.org/licenses/by-nc-nd/2.5/
"Spotted Wood Kingfisher","Actenoides lindsayi",,"Desmond Allen",1994-01-03,?:?,"Quezon National Forest Park, Quezon Province, Luzon",Philippines,,,?,song,"Dawn whistle",,79233,//creativecommons.org/licenses/by-nc-nd/2.5/
"Mangrove Whistler","Pachycephala cinerea",,"Desmond Allen",1994-01-03,?:?,"St. Pauls National Park, Palawan",Philippines,,,?,song,"Bird singing. Often called P. cinerea",,79197,//creativecommons.org/licenses/by-nc-nd/2.5/
"Palawan Tit","Pardaliparus amabilis",,"Desmond Allen",1994-01-03,?:?,"St. Pauls National Park, Palawan",Philippines,,,?,song,"bird singing",,79198,//creativecommons.org/licenses/by-nc-nd/2.5/
"Flame-templed Babbler","Dasycrotapha speciosa",,"Desmond Allen",1994-01-02,?:?,"Mount Talinis, Negros",Philippines,,,?,song,"Bird singing a few phrases",,79195,//creativecommons.org/licenses/by-nc-nd/2.5/
"Falcated Wren-Babbler","Ptilocichla falcata",,"Desmond Allen",1994-01-03,?:?,"St. Pauls National Park, Palawan",Philippines,,,?,call,"bird calling",,79196,//creativecommons.org/licenses/by-nc-nd/2.5/
"White-vented Shama","Copsychus niger",,"Desmond Allen",1994-01-03,?:?,"St. Pauls National Park, Palawan",Philippines,,,?,song,"bird singing",,79194,//creativecommons.org/licenses/by-nc-nd/2.5/
"Black Shama","Copsychus cebuensis",,"Desmond Allen",1994-01-03,?:?,"Consolacion, Cebu",Philippines,,,?,song,"Bird singing apparently starting with mimics",,79185,//creativecommons.org/licenses/by-nc-nd/2.5/
"Palawan Blue Flycatcher","Cyornis lemprieri",,"Desmond Allen",1994-01-03,?:?,"St. Pauls National Park, Palawan",Philippines,,,?,song,"Bird singing",,79140,//creativecommons.org/licenses/by-nc-nd/2.5/
