"Common name","Scientific name",Subspecies,Recordist,Date,Time,Location,Country,Latitude,Longitude,Elevation,Songtype,Remarks,Back_latin,"Catalogue number",License
"Scale-feathered Malkoha","Dasylophus cumingi",,"Desmond Allen",2000-01-03,?:?,"Minuma Valley, Isabela Province, Luzon",Philippines,,,?,call,"bird calling",,79267,//creativecommons.org/licenses/by-nc-nd/2.5/
"Whiskered Pitta","Erythropitta kochi",,"Desmond Allen",2000-01-02,?:?,"Mount Polis, Mountain Province, Luzon",Philippines,,,?,"duet, song","Pair duetting from opposite sides of trail",,79182,//creativecommons.org/licenses/by-nc-nd/2.5/
"Blackish Cuckooshrike","Edolisoma coerulescens",,"Desmond Allen",2000-01-03,?:?,"Minuma Valley, Isabela Province, Luzon",Philippines,,,?,call,"short burst of calls from small flock",,79219,//creativecommons.org/licenses/by-nc-nd/2.5/
"Philippine Bush Warbler","Horornis seebohmi",,"Desmond Allen",2000-01-02,?:?,"Mount Polis, Mountain Province, Luzon",Philippines,,,?,song,"One bird singing, another sometimes calling",,79199,//creativecommons.org/licenses/by-nc-nd/2.5/
"Philippine Leaf Warbler","Phylloscopus olivaceus",,"Frank Lambert",2000-12-10,?:?,"Mindanao; Zamboanga, Pasonanca Watershed Reserve, Cabonegro",Philippines,6.9,122.1,650,call,"Previously published on AVoCet as <a href=http://avocet.zoology.msu.edu/recordings/10965>AV10965</a>.  Certainty: slightly less than 100%.  ID determined by: not specifically indicated; recordist normally sees birds recorded and indicates if any question; unclear which notes are this. GPS: estimate from Google Earth.",,69083,//creativecommons.org/licenses/by-nc-nd/4.0/
"Benguet Bush Warbler","Locustella seebohmi",,"Desmond Allen",2000-01-02,?:?,"Bayyo, Mountain Province, Luzon",Philippines,,,?,call,"Bird calling from grass",,79260,//creativecommons.org/licenses/by-nc-nd/2.5/
"Chestnut-faced Babbler","Zosterornis whiteheadi",,"Desmond Allen",2000-01-02,?:?,"Mount Polis, Mountain Province, Luzon",Philippines,,,?,call,"various calls of flock",,79265,//creativecommons.org/licenses/by-nc-nd/2.5/
"Turquoise Flycatcher","Eumyias panayensis",,"Desmond Allen",2000-01-02,?:?,"Mount Polis, Mountain Province, Luzon",Philippines,,,?,song,"bird singing",,79277,//creativecommons.org/licenses/by-nc-nd/2.5/
"Buzzing Flowerpecker","Dicaeum hypoleucum",,"Desmond Allen",2000-01-03,?:?,"Minuma Valley, Isabela Province, Luzon",Philippines,,,?,call,"bird giving buzz call three times",,79177,//creativecommons.org/licenses/by-nc-nd/2.5/
"Chestnut Munia","Lonchura atricapilla",,"Desmond Allen",2000-01-07,?:?,"Tablas Island, Romblon Province",Philippines,,,?,call,"Calls from flock of perhaps 100 birds in a bush",,79156,//creativecommons.org/licenses/by-nc-nd/2.5/
"White-cheeked Bullfinch","Pyrrhula leucogenis",,"Desmond Allen",2000-01-02,?:?,"Mount Polis, Mountain Province, Luzon",Philippines,,,?,call,"calls of flock feeding in lower storey",,79266,//creativecommons.org/licenses/by-nc-nd/2.5/
