"Common name","Scientific name",Subspecies,Recordist,Date,Time,Location,Country,Latitude,Longitude,Elevation,Songtype,Remarks,Back_latin,"Catalogue number",License
"Romblon Hawk-Owl","Ninox spilonotus",spilonota,"Desmond Allen",2002-03-00,0200,"Dobdoban, San Agustin",Philippines,,,50,"call, territorial call","more developed call",,108116,//creativecommons.org/licenses/by-nc-nd/2.5/
"Romblon Hawk-Owl","Ninox spilonotus",fisheri,"Desmond Allen",2002-03-00,0100,"Dobdoban, San Agustin",Philippines,,,50,"call, territorial call",,,108114,//creativecommons.org/licenses/by-nc-nd/2.5/
"Mantanani Scops Owl","Otus mantananensis",romblonis,"Desmond Allen",2002-01-07,?:?,"Romblon Island, Romblon Province",Philippines,,,?,call,"bird calling",,79288,//creativecommons.org/licenses/by-nc-nd/2.5/
"Dimorphic Dwarf Kingfisher","Ceyx margarethae",,"Desmond Allen",2002-01-03,?:?,"Tablas Island, Romblon Province",Philippines,,,?,call,"Bird calling from understorey",,79237,//creativecommons.org/licenses/by-nc-nd/2.5/
"Blue-throated Bee-eater","Merops viridis",,"Desmond Allen",2002-01-07,?:?,"Sibuyan Island, Romblon Province",Philippines,,,?,call,"flock calls from at least 40 birds",,79298,//creativecommons.org/licenses/by-nc-nd/2.5/
"Black-naped Monarch","Hypothymis azurea",,"Desmond Allen",2002-01-03,?:?,"Tablas Island, Romblon Province",Philippines,,,?,call,"two males singing and calling",,79301,//creativecommons.org/licenses/by-nc-nd/2.5/
"Rufous Paradise Flycatcher","Terpsiphone cinnamomea",,"Desmond Allen",2002-01-03,?:?,"Tablas Island, Romblon Province",Philippines,,,?,song,"male singing",,79258,//creativecommons.org/licenses/by-nc-nd/2.5/
"Golden-headed Cisticola","Cisticola exilis",,"Desmond Allen",2002-01-07,?:?,"Sibuyan Island, Romblon Province",Philippines,,,?,song,"bird singing",,79305,//creativecommons.org/licenses/by-nc-nd/2.5/
"Magnificent Sunbird","Aethopyga magnifica",,"Desmond Allen",2002-01-07,?:?,"Romblon Island, Romblon Province",Philippines,,,?,song,"Bird calling",,79193,//creativecommons.org/licenses/by-nc-nd/2.5/
"Scaly-breasted Munia","Lonchura punctulata",,"Desmond Allen",2002-01-07,?:?,"Sibuyan Island, Romblon Province",Philippines,,,?,call,"flock calls in foreground",,79308,//creativecommons.org/licenses/by-nc-nd/2.5/
